FullServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),hospital,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),LargeHotel,Cooling:Electricity [J](Hourly),Gas:Facility [J](Hourly),LargeOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MediumOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MitriseAppartment,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),OutPatient,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),PrimarySchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),QuickServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SecondSchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallHotel,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Stand-aloneRetail,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),StripMall,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SuperMarket,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),WareHouse,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly)
441233128.8,5948.127583,441227180.6,3233527856,430040194.3,2803487662,1275027619,179641591.2,1095386028,3619365995,0,3619365995,59859712.05,0,59859712.05,550297194.9,0,550297194.9,239735418.8,12237881.97,227497536.8,720109962.6,0,720109962.6,248348925.2,0,248348925.2,1594411104,0,1594411104,201474551.1,0,201474551.1,47636410.16,0,47636410.16,170598937.4,0,170598937.4,189779303.1,0,189779303.1,640705282.9,0,640705282.9,1057026987,0,1057026987
0,0,0,3557045035,275047267.3,3281997768,924319294.4,72246319.08,852072975.4,3566399089,0,3566399089,61096838.24,0,61096838.24,655797256.7,0,655797256.7,192410100.1,6066949.1,186343151,746620708.9,0,746620708.9,0,0,0,1607364406,0,1607364406,235450510.3,0,235450510.3,45932819.1,0,45932819.1,218596183.9,0,218596183.9,193812831,0,193812831,902431614.2,0,902431614.2,1183437359,0,1183437359
0,0,0,3466313471,293567909.5,3172745561,824105715.4,42782287.99,781323427.4,4606525756,0,4606525756,80137467.3,0,80137467.3,651504235.7,0,651504235.7,244336612.9,8479422.634,235857190.3,945378177,0,945378177,75895228.14,0,75895228.14,2079041808,0,2079041808,234163291.6,0,234163291.6,45632867.4,0,45632867.4,239785360.7,0,239785360.7,275665039,0,275665039,651668023.8,0,651668023.8,1367672064,0,1367672064
0,0,0,3460430484,297485024,3162945460,758194396.9,31838310.27,726356086.6,3116179951,0,3116179951,63481856.55,0,63481856.55,654072781,0,654072781,197090658.9,6441035.064,190649623.8,628872236.3,0,628872236.3,122765661.6,0,122765661.6,1443880458,0,1443880458,235615524.3,0,235615524.3,39820022,0,39820022,245091550,0,245091550,218490459.7,0,218490459.7,1061702761,0,1061702761,1166438188,0,1166438188
0,0,0,3363964480,306604220.1,3057360260,897942355.8,35901855.86,862040499.9,4380260018,0,4380260018,81741611.59,0,81741611.59,651845689.7,0,651845689.7,289296097.9,16647295.22,272648802.7,902015331.2,0,902015331.2,139860110.1,0,139860110.1,2044515611,0,2044515611,235889827.6,0,235889827.6,47111317.29,0,47111317.29,239948945.4,0,239948945.4,280848823.7,0,280848823.7,953839511.2,0,953839511.2,1358850567,0,1358850567
500511622.4,21861.77547,500489760.6,3367515554,312337153.1,3055178401,1048241350,43827328.87,1004414021,3071316222,0,3071316222,64175967.49,0,64175967.49,643368890.2,0,643368890.2,447552613.5,27964919.74,419587693.8,628874897,0,628874897,283649327.2,0,283649327.2,1457559161,0,1457559161,232251196.3,0,232251196.3,40751953.75,0,40751953.75,224854267.9,0,224854267.9,202685091.8,0,202685091.8,686183782.2,0,686183782.2,1157629743,0,1157629743
466682329.9,43164.11543,466639165.7,3119834834,312004272.4,2807830562,1438860777,119240119.1,1319620658,4396336778,0,4396336778,82698978.55,0,82698978.55,633129391.9,0,633129391.9,476602909.3,41775724.18,434827185.1,915656855.1,0,915656855.1,250177642,0,250177642,2083584379,0,2083584379,227956436.5,0,227956436.5,48292444.15,0,48292444.15,953797726.5,0,953797726.5,986696037.5,0,986696037.5,3189053245,0,3189053245,1359819245,0,1359819245
414699908,40771.88174,414659136.1,3076225382,324930826.3,2751294556,3765700830,322740483.8,3442960346,3029899738,0,3029899738,64770854.66,0,64770854.66,620041157,0,620041157,443336709.6,46900609.4,396436100.2,386429547.8,0,386429547.8,231925207.3,0,231925207.3,830243522.9,0,830243522.9,216294842,0,216294842,41122478.8,0,41122478.8,717566678.3,0,717566678.3,744904360.8,0,744904360.8,2786624416,0,2786624416,1149448862,0,1149448862
393056485.3,5687.348687,393050798,2860305826,359080050.8,2501225775,4850121215,630921070,4219200145,3549854522,0,3549854522,80254341.83,0,80254341.83,593223753.3,0,593223753.3,426917737.3,49861128.01,377056609.3,459056950.2,0,459056950.2,224540631.6,0,224540631.6,1006204748,0,1006204748,170620963.3,238985.124,170381978.2,49530927.05,0,49530927.05,615885580.8,0,615885580.8,636442721.8,0,636442721.8,2009796722,0,2009796722,1284222640,0,1284222640
389308342.9,0,389308342.9,2657072697,425427771,2231644926,4161022577,608769717.9,3552252859,2100872122,0,2100872122,58755909.61,0,58755909.61,540280761.7,0,540280761.7,411722399.9,53428502.8,358293897.1,250240792.6,0,250240792.6,205478786.1,0,205478786.1,469623318.3,0,469623318.3,155042348,6009891.877,149032456.2,34612075.1,0,34612075.1,490544835.2,0,490544835.2,502158289.3,0,502158289.3,1854242436,0,1854242436,998748491.3,0,998748491.3
353550819.8,20826.22389,353529993.6,2517709323,530681244.6,1987028079,3588069325,534172445.3,3053896880,2570621081,0,2570621081,67628278.04,0,67628278.04,481148773.7,0,481148773.7,396897060.8,58223039.99,338674020.8,276386287.5,0,276386287.5,176499281.8,0,176499281.8,578560526.1,0,578560526.1,143429823.5,7110926.122,136318897.4,37618449.29,0,37618449.29,431688068.6,0,431688068.6,437985481.7,0,437985481.7,1603470474,0,1603470474,1045741557,0,1045741557
