Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  01:00:00,45317719.52,19325.2399,0,47533.10561,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  02:00:00,45807270.91,237019.4524,0,319390.2847,6876431.089,8616830.088,6005110.808,6005110.808,0,,,,,,,,,,,,,,,,,,,
 01/02  03:00:00,46080523.12,343179.7514,0,486482.1943,6876431.089,8616830.088,9284788.572,9284788.572,0,,,,,,,,,,,,,,,,,,,
 01/02  04:00:00,46312371.44,474940.4133,0,586569.8506,6876431.089,8616830.088,13271478,13271478,0,,,,,,,,,,,,,,,,,,,
 01/02  05:00:00,46247128.57,393310.1912,0,602957.1972,6876431.089,8616830.088,10794915.89,10794915.89,0,,,,,,,,,,,,,,,,,,,
 01/02  06:00:00,46550808.26,675015.2437,0,624931.8435,6876431.089,8616830.088,19650679.88,19650679.88,0,,,,,,,,,,,,,,,,,,,
 01/02  07:00:00,95434552.43,43728484.57,0,6455206.689,6876431.089,8616830.088,766675494.4,766675494.4,0,,,,,,,,,,,,,,,,,,,
 01/02  08:00:00,103283913,43728484.57,0,4896843.9,27505724.36,17233660.18,588744230.8,588744230.8,0,,,,,,,,,,,,,,,,,,,
 01/02  09:00:00,146867157.7,43728484.57,0,4215456.954,68764310.89,30158905.31,512427350.6,512427350.6,0,,,,,,,,,,,,,,,,,,,
 01/02  10:00:00,209770686.5,43728484.57,0,3490706.926,123775759.6,38775735.4,417819482.3,417819482.3,0,,,,,,,,,,,,,,,,,,,
 01/02  11:00:00,209354488.9,43728484.57,0,3074509.349,123775759.6,38775735.4,374073846.3,374073846.3,0,,,,,,,,,,,,,,,,,,,
 01/02  12:00:00,208952911.6,43728484.57,0,2672932.001,123775759.6,38775735.4,328931212,328931212,0,,,,,,,,,,,,,,,,,,,
 01/02  13:00:00,208750684.5,43728484.57,0,2470704.934,123775759.6,38775735.4,314012785.3,314012785.3,0,,,,,,,,,,,,,,,,,,,
 01/02  14:00:00,208791769.6,43728484.57,0,2511790.033,123775759.6,38775735.4,323016525.4,323016525.4,0,,,,,,,,,,,,,,,,,,,
 01/02  15:00:00,208934619.8,43728484.57,0,2654640.272,123775759.6,38775735.4,335574982.2,335574982.2,0,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,208920238,43728484.57,0,2640258.43,123775759.6,38775735.4,309461955.3,309461955.3,0,,,,,,,,,,,,,,,,,,,
 01/02  17:00:00,228862235,43728484.57,0,2743855.4,123775759.6,38775735.4,306277311,306277311,0,,,,,,,,,,,,,,,,,,,
 01/02  18:00:00,239014589.1,43728484.57,0,2977009.517,123775759.6,38775735.4,336952937.1,336952937.1,0,,,,,,,,,,,,,,,,,,,
 01/02  19:00:00,193495315.3,43728484.57,0,3024737.277,82517173.07,34467320.35,349186582.6,349186582.6,0,,,,,,,,,,,,,,,,,,,
 01/02  20:00:00,193548170,43728484.57,0,3077591.993,82517173.07,34467320.35,357713172.4,357713172.4,0,,,,,,,,,,,,,,,,,,,
 01/02  21:00:00,175477671.9,43728484.57,0,3068371.143,68764310.89,30158905.31,358465862.1,358465862.1,0,,,,,,,,,,,,,,,,,,,
 01/02  22:00:00,74496984.53,0,0,0,27505724.36,17233660.18,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  23:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  24:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  01:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  02:00:00,45350202.76,32208.73317,0,67132.84467,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  03:00:00,45598927.5,123365.4883,0,224700.8303,6876431.089,8616830.088,2566569.918,2566569.918,0,,,,,,,,,,,,,,,,,,,
 01/03  04:00:00,45727352.76,136627.6517,0,339863.9302,6876431.089,8616830.088,2966524.719,2966524.719,0,,,,,,,,,,,,,,,,,,,
 01/03  05:00:00,46066621.08,347639.9667,0,468119.934,6876431.089,8616830.088,9412032.217,9412032.217,0,,,,,,,,,,,,,,,,,,,
 01/03  06:00:00,46251705.63,406880.0793,0,593964.3698,6876431.089,8616830.088,11231637.69,11231637.69,0,,,,,,,,,,,,,,,,,,,
 01/03  07:00:00,95631083.83,43728484.57,0,6651738.085,6876431.089,8616830.088,790653189.6,790653189.6,0,,,,,,,,,,,,,,,,,,,
 01/03  08:00:00,103576369.5,43728484.57,0,5189300.41,27505724.36,17233660.18,630963648.2,630963648.2,0,,,,,,,,,,,,,,,,,,,
 01/03  09:00:00,147209571.4,43728484.57,0,4557870.588,68764310.89,30158905.31,577143822.2,577143822.2,0,,,,,,,,,,,,,,,,,,,
 01/03  10:00:00,210220910.2,43728484.57,0,3940930.645,123775759.6,38775735.4,506977364,506977364,0,,,,,,,,,,,,,,,,,,,
 01/03  11:00:00,209821459.8,43728484.57,0,3541480.18,123775759.6,38775735.4,477401770.2,477401770.2,0,,,,,,,,,,,,,,,,,,,
 01/03  12:00:00,209488335.1,43728484.57,0,3208355.503,123775759.6,38775735.4,433488214.8,433488214.8,0,,,,,,,,,,,,,,,,,,,
 01/03  13:00:00,209300640.1,43728484.57,0,3020660.522,123775759.6,38775735.4,410355197.3,410355197.3,0,,,,,,,,,,,,,,,,,,,
 01/03  14:00:00,209191479.1,43728484.57,0,2911499.549,123775759.6,38775735.4,396219763,396219763,0,,,,,,,,,,,,,,,,,,,
 01/03  15:00:00,209200441,43728484.57,0,2920461.387,123775759.6,38775735.4,388735864.5,388735864.5,0,,,,,,,,,,,,,,,,,,,
 01/03  16:00:00,209225585.9,43728484.57,0,2945606.292,123775759.6,38775735.4,374318291.1,374318291.1,0,,,,,,,,,,,,,,,,,,,
 01/03  17:00:00,229264821.6,43728484.57,0,3146442.047,123775759.6,38775735.4,380703846.3,380703846.3,0,,,,,,,,,,,,,,,,,,,
