Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,74067571.28,18570603.89,0,0,19732408.55,3641758.841,471338487.5,471338487.5,0,,,,,,,,,,,,,,,,,,,
 01/01  02:00:00,73027232.29,17530264.9,0,0,19732408.55,3641758.841,511205032.3,511205032.3,0,,,,,,,,,,,,,,,,,,,
 01/01  03:00:00,79304015.3,23807047.92,0,0,19732408.55,3641758.841,655631234.3,655631234.3,0,,,,,,,,,,,,,,,,,,,
 01/01  04:00:00,73999742.34,18502774.95,0,0,19732408.55,3641758.841,559941860.6,559941860.6,0,,,,,,,,,,,,,,,,,,,
 01/01  05:00:00,79787620,24290652.61,0,0,19732408.55,3641758.841,679487601,679487601,0,,,,,,,,,,,,,,,,,,,
 01/01  06:00:00,74124834.55,18627867.16,0,0,19732408.55,3641758.841,566747432.1,566747432.1,0,,,,,,,,,,,,,,,,,,,
 01/01  07:00:00,79869783.53,24372816.15,0,0,19732408.55,3641758.841,683755547.7,683755547.7,0,,,,,,,,,,,,,,,,,,,
 01/01  08:00:00,52703821.64,18622054.25,0,0,19732408.55,3641758.841,565527862.1,565527862.1,0,,,,,,,,,,,,,,,,,,,
 01/01  09:00:00,46793681.77,23419514.38,0,0,19732408.55,3641758.841,646160549.6,646160549.6,0,,,,,,,,,,,,,,,,,,,
 01/01  10:00:00,40066703.74,16692536.36,0,0,19732408.55,3641758.841,475171586.1,475171586.1,0,,,,,,,,,,,,,,,,,,,
 01/01  11:00:00,43230339.6,19856172.22,0,0,19732408.55,3641758.841,490336943.9,490336943.9,0,,,,,,,,,,,,,,,,,,,
 01/01  12:00:00,37039378.55,13665211.17,0,0,19732408.55,3641758.841,324703496.7,324703496.7,0,,,,,,,,,,,,,,,,,,,
 01/01  13:00:00,39915336.31,16541168.92,0,0,19732408.55,3641758.841,351164965.7,351164965.7,0,,,,,,,,,,,,,,,,,,,
 01/01  14:00:00,35465944.6,12091777.21,0,0,19732408.55,3641758.841,244520169.6,244520169.6,0,,,,,,,,,,,,,,,,,,,
 01/01  15:00:00,38978158.41,15603991.02,0,0,19732408.55,3641758.841,302810623.4,302810623.4,0,,,,,,,,,,,,,,,,,,,
 01/01  16:00:00,35510408.37,12136240.98,0,0,19732408.55,3641758.841,234396370.3,234396370.3,0,,,,,,,,,,,,,,,,,,,
 01/01  17:00:00,61231356.48,16441989.1,0,0,19732408.55,3641758.841,324903837.8,324903837.8,0,,,,,,,,,,,,,,,,,,,
 01/01  18:00:00,68507060.83,13010093.44,0,0,19732408.55,3641758.841,271064259.6,271064259.6,0,,,,,,,,,,,,,,,,,,,
 01/01  19:00:00,73131789.99,17634822.6,0,0,19732408.55,3641758.841,377741882.8,377741882.8,0,,,,,,,,,,,,,,,,,,,
 01/01  20:00:00,69166552.93,13669585.54,0,0,19732408.55,3641758.841,302777580.5,302777580.5,0,,,,,,,,,,,,,,,,,,,
 01/01  21:00:00,73350361.92,17853394.54,0,0,19732408.55,3641758.841,385772375.5,385772375.5,0,,,,,,,,,,,,,,,,,,,
 01/01  22:00:00,69093330.71,13596363.32,0,0,19732408.55,3641758.841,301745316.1,301745316.1,0,,,,,,,,,,,,,,,,,,,
 01/01  23:00:00,73398847.91,17901880.53,0,0,19732408.55,3641758.841,388471176.6,388471176.6,0,,,,,,,,,,,,,,,,,,,
 01/01  24:00:00,69383132.93,13886165.54,0,0,19732408.55,3641758.841,313756496.9,313756496.9,0,,,,,,,,,,,,,,,,,,,
 01/02  01:00:00,74298860.04,18801892.65,0,0,19732408.55,3641758.841,428097739.7,428097739.7,0,,,,,,,,,,,,,,,,,,,
 01/02  02:00:00,70292654.2,14795686.81,0,0,19732408.55,3641758.841,359255696.8,359255696.8,0,,,,,,,,,,,,,,,,,,,
 01/02  03:00:00,75010615.15,19513647.76,0,0,19732408.55,3641758.841,456931548.5,456931548.5,0,,,,,,,,,,,,,,,,,,,
 01/02  04:00:00,70469421.52,14972454.13,0,0,19732408.55,3641758.841,368831561.6,368831561.6,0,,,,,,,,,,,,,,,,,,,
 01/02  05:00:00,74711868.27,19214900.88,0,0,19732408.55,3641758.841,442469703.9,442469703.9,0,,,,,,,,,,,,,,,,,,,
 01/02  06:00:00,69776903.63,14279936.24,0,0,19732408.55,3641758.841,333565505.9,333565505.9,0,,,,,,,,,,,,,,,,,,,
 01/02  07:00:00,95964221.32,40467253.93,0,0,19732408.55,3641758.841,500550768.6,500550768.6,0,,,,,,,,,,,,,,,,,,,
 01/02  08:00:00,148313282.3,40467253.93,0,0,78929634.19,18208794.21,381409274.6,381409274.6,0,,,,,,,,,,,,,,,,,,,
 01/02  09:00:00,206831865.7,39570935.15,0,0,138126859.8,29134070.73,304267971.8,304267971.8,0,,,,,,,,,,,,,,,,,,,
 01/02  10:00:00,249803821.5,39436315.05,0,0,177591676.9,32775829.57,259735321.7,259735321.7,0,,,,,,,,,,,,,,,,,,,
 01/02  11:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,226452504.8,226452504.8,0,,,,,,,,,,,,,,,,,,,
 01/02  12:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,199415342.4,199415342.4,0,,,,,,,,,,,,,,,,,,,
 01/02  13:00:00,226652872.4,39659533.32,0,0,157859268.4,29134070.73,185035103.6,185035103.6,0,,,,,,,,,,,,,,,,,,,
 01/02  14:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,174392244.1,174392244.1,0,,,,,,,,,,,,,,,,,,,
 01/02  15:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,186369214.2,186369214.2,0,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,195355910.4,195355910.4,0,,,,,,,,,,,,,,,,,,,
 01/02  17:00:00,271442239.8,39659533.32,0,0,177591676.9,32775829.57,207056555.7,207056555.7,0,,,,,,,,,,,,,,,,,,,
