Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  01:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  02:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  03:00:00,54482048.3,96851.15292,0,0,6567571.381,6471625.766,2928079.652,2928079.652,0,,,,,,,,,,,,,,,,,,,
 01/02  04:00:00,54501964.81,116767.6675,0,0,6567571.381,6471625.766,3530269.713,3530269.713,0,,,,,,,,,,,,,,,,,,,
 01/02  05:00:00,54580169.89,194972.7426,0,0,6567571.381,6471625.766,5885312.263,5885312.263,0,,,,,,,,,,,,,,,,,,,
 01/02  06:00:00,54541206.64,156009.489,0,0,6567571.381,6471625.766,4699747.104,4699747.104,0,,,,,,,,,,,,,,,,,,,
 01/02  07:00:00,82637936.7,28252739.55,0,0,6567571.381,6471625.766,784051668,784051668,0,,,,,,,,,,,,,,,,,,,
 01/02  08:00:00,81248276.61,28252739.55,0,0,26270285.52,12943251.53,614734355.3,614734355.3,0,,,,,,,,,,,,,,,,,,,
 01/02  09:00:00,116579143.5,28252739.55,0,0,65675713.81,22650690.18,535543333.9,535543333.9,0,,,,,,,,,,,,,,,,,,,
 01/02  10:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,437064000.9,437064000.9,0,,,,,,,,,,,,,,,,,,,
 01/02  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,388627244,388627244,0,,,,,,,,,,,,,,,,,,,
 01/02  12:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,338039278.8,338039278.8,0,,,,,,,,,,,,,,,,,,,
 01/02  13:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,319279934,319279934,0,,,,,,,,,,,,,,,,,,,
 01/02  14:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,326220445.7,326220445.7,0,,,,,,,,,,,,,,,,,,,
 01/02  15:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,339879034,339879034,0,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,316202818.7,316202818.7,0,,,,,,,,,,,,,,,,,,,
 01/02  17:00:00,203155340.4,28252739.55,0,0,118216284.9,29122315.95,315590293.8,315590293.8,0,,,,,,,,,,,,,,,,,,,
 01/02  18:00:00,216937340.4,28252739.55,0,0,118216284.9,29122315.95,350168460.7,350168460.7,0,,,,,,,,,,,,,,,,,,,
 01/02  19:00:00,174296099.2,28252739.55,0,0,78810856.57,25886503.07,363399947.8,363399947.8,0,,,,,,,,,,,,,,,,,,,
 01/02  20:00:00,174296099.2,28252739.55,0,0,78810856.57,25886503.07,374375534.3,374375534.3,0,,,,,,,,,,,,,,,,,,,
 01/02  21:00:00,157925143.5,28252739.55,0,0,65675713.81,22650690.18,375263705.1,375263705.1,0,,,,,,,,,,,,,,,,,,,
 01/02  22:00:00,80559537.06,0,0,0,26270285.52,12943251.53,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  23:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/02  24:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  01:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  02:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  03:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  04:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 01/03  05:00:00,54450442.71,65245.56645,0,0,6567571.381,6471625.766,1980961.377,1980961.377,0,,,,,,,,,,,,,,,,,,,
 01/03  06:00:00,54529424.95,144227.7981,0,0,6567571.381,6471625.766,4359495.779,4359495.779,0,,,,,,,,,,,,,,,,,,,
 01/03  07:00:00,82637936.7,28252739.55,0,0,6567571.381,6471625.766,800040216.5,800040216.5,0,,,,,,,,,,,,,,,,,,,
 01/03  08:00:00,81248276.61,28252739.55,0,0,26270285.52,12943251.53,654585617,654585617,0,,,,,,,,,,,,,,,,,,,
 01/03  09:00:00,116579143.5,28252739.55,0,0,65675713.81,22650690.18,599983938.6,599983938.6,0,,,,,,,,,,,,,,,,,,,
 01/03  10:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,527104764,527104764,0,,,,,,,,,,,,,,,,,,,
 01/03  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,492962383.6,492962383.6,0,,,,,,,,,,,,,,,,,,,
 01/03  12:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,444777250.8,444777250.8,0,,,,,,,,,,,,,,,,,,,
 01/03  13:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,418754601.8,418754601.8,0,,,,,,,,,,,,,,,,,,,
