Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,304536577,336735906.2,95267599.85,0,0,32609551.68
 01/01  02:00:00,314075687.1,438335496.8,111602380.6,0,0,8485200
 01/01  03:00:00,309392024.2,437135831.9,110312780.9,0,0,8485200
 01/01  04:00:00,310516479.3,442829406.1,113133324.8,0,0,8485200
 01/01  05:00:00,320973789.9,455005638.3,115049744.4,0,0,8485200
 01/01  06:00:00,343129713,446075594.1,112852710.5,0,0,59853056.2
 01/01  07:00:00,375117959.5,433956495.6,110184039.1,0,0,243549756.3
 01/01  08:00:00,363791301.1,406879966.1,101886557.9,0,0,260284395.5
 01/01  09:00:00,332285143.7,339780112.7,86503339.45,0,0,289333722.6
 01/01  10:00:00,314120517.8,304620583.4,80089451.95,0,0,242186153.4
 01/01  11:00:00,290768591.7,263780162.8,68017324.76,0,0,200321704.6
 01/01  12:00:00,285622059.2,226682132.5,61153070.3,0,0,189001013.8
 01/01  13:00:00,286682200.3,230279854.4,63930933.38,0,0,152550641.4
 01/01  14:00:00,277900509.4,217934769.6,60297763.68,0,0,121080108.5
 01/01  15:00:00,271163591.3,195595741,55275491.1,0,0,123912267.7
 01/01  16:00:00,276262369.5,182054508.3,51580892.74,0,0,141501594.1
 01/01  17:00:00,339115263.7,149718991.2,42571602.44,0,0,152506398.6
 01/01  18:00:00,392356689,112881765.5,33450093.28,0,0,194936204
 01/01  19:00:00,407536631.7,128103029.9,40119733.75,0,0,240396280.7
 01/01  20:00:00,401420812.5,161351082.9,47471285.65,0,0,228803234.5
 01/01  21:00:00,386364498.9,139025147.5,39359309.54,0,0,208574505.1
 01/01  22:00:00,365920630.4,144206026.4,45359187.63,0,0,188615559.4
 01/01  23:00:00,335646349.9,200922547.9,58744232.31,0,0,152431692
 01/01  24:00:00,305001881.2,231559639.2,66247484.96,0,0,87333741.18
 01/02  01:00:00,284748861.9,267763580.7,75479752.23,0,0,32701346.56
 01/02  02:00:00,284669264.2,298643832.6,82195957.72,0,0,8485200
 01/02  03:00:00,283517301.6,310708902.1,84438058.26,0,0,8485200
 01/02  04:00:00,279415592.8,303721337.2,82032438.3,0,0,8485200
 01/02  05:00:00,288648373.2,300697387.9,82724327.7,0,0,8485200
 01/02  06:00:00,309470277,290887969.6,79193274.54,0,0,59875116.14
 01/02  07:00:00,332743656.1,248967456.5,67809735.73,0,0,240031934.7
 01/02  08:00:00,324588115.8,221520463.2,62438967.21,0,0,294477914.5
 01/02  09:00:00,318226281,232671422.1,66435014.71,0,0,255448595
 01/02  10:00:00,303048094.8,223869972.2,63006852.86,0,0,242628926.7
 01/02  11:00:00,285224978.6,199384597.4,56462161.39,0,0,228044448.6
 01/02  12:00:00,276263597,160431403.5,45782353.08,0,0,162635989.4
 01/02  13:00:00,259700390.2,109339905,31707316.08,0,0,152989856.5
 01/02  14:00:00,264753729,124270435.7,41141520.94,0,0,149002848.3
 01/02  15:00:00,273600669.5,174979958.8,51703784.01,0,0,118031920.6
 01/02  16:00:00,288535947.6,196708243.3,57843618.22,0,0,119952957.8
 01/02  17:00:00,376471768.8,250551776.3,73908460.9,0,0,152474621.7
 01/02  18:00:00,422609965.1,238415911.5,63454548.01,0,0,193818480.5
 01/02  19:00:00,417123766.1,174054970.1,49706868.2,0,0,239792861.6
 01/02  20:00:00,402675045.9,165163680.4,48725519.06,0,0,238661851.9
 01/02  21:00:00,396594884.5,166659800.2,49589695.18,0,0,205652662.4
 01/02  22:00:00,367019678.9,158225313.4,46458236.14,0,0,183235177.6
 01/02  23:00:00,319358405.1,143971580.7,42456287.51,0,0,152831322.8
 01/02  24:00:00,293023555.5,174468354.2,54269159.25,0,0,88550688.56
 01/03  01:00:00,275671284.5,229956799.5,66402174.87,0,0,33475191.69
 01/03  02:00:00,279070449.4,266554264.6,76597142.92,0,0,32318984.23
 01/03  03:00:00,289390577.3,321336118.9,90311333.97,0,0,8485200
 01/03  04:00:00,291574901.3,346305025.9,94191746.85,0,0,8485200
