Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,72837387.88,170052324.6,0,0,0,0
 01/01  02:00:00,90282542.06,201456730.6,0,0,20072765.73,0
 01/01  03:00:00,68895970.56,199171383.8,0,0,0,0
 01/01  04:00:00,75208305.04,203486261.5,0,0,6969237.368,0
 01/01  05:00:00,86129603.82,204201421.3,0,0,13081132.29,0
 01/01  06:00:00,113055635.5,198485894.9,0,0,27580885.3,0
 01/01  07:00:00,192465593.9,198364198.9,0,0,87682948,0
 01/01  08:00:00,198594029.6,186064706.1,0,0,88153135.17,0
 01/01  09:00:00,207065302.6,162662777.1,0,0,101604509.3,0
 01/01  10:00:00,172854724.4,147469847.4,0,0,76394805.47,0
 01/01  11:00:00,154108606.8,123257673.7,0,0,67939802.49,0
 01/01  12:00:00,143600720.3,104986933,0,0,56775013.13,0
 01/01  13:00:00,135174840.8,102664273.1,0,0,49006036.56,0
 01/01  14:00:00,140298278.3,94850991.94,0,0,56100182.71,0
 01/01  15:00:00,124793989.8,88270227.56,0,0,41252797.11,0
 01/01  16:00:00,143041449.9,82998389.19,0,0,56098418.17,0
 01/01  17:00:00,165749335.6,68876900.13,0,0,49086144.72,0
 01/01  18:00:00,208591228.7,56530779.6,0,0,64926329.16,0
 01/01  19:00:00,226396867.5,69210931.8,0,0,79392663.88,0
 01/01  20:00:00,218098924,76442933.92,0,0,79110283.59,0
 01/01  21:00:00,214999844.4,65982663.49,0,0,78638815.59,0
 01/01  22:00:00,179937203.4,78774370.85,0,0,56776680.67,0
 01/01  23:00:00,159781197.4,102691313.2,0,0,56390209.7,0
 01/01  24:00:00,113337003.4,116434966.1,0,0,27627517.56,0
 01/02  01:00:00,92968388.79,132770656.1,0,0,20131000.91,0
 01/02  02:00:00,70209776.33,142270597.1,0,0,0,0
 01/02  03:00:00,75865056.23,145302887.5,0,0,6969085.679,0
 01/02  04:00:00,81299107.77,142041770.2,0,0,13060040.1,0
 01/02  05:00:00,73048471.53,138292663.3,0,0,0,0
 01/02  06:00:00,113059145.6,129728490.8,0,0,27584395.35,0
 01/02  07:00:00,193624100.5,116806107.1,0,0,88841454.59,0
 01/02  08:00:00,211489542.6,117611190.1,0,0,100809991.1,0
 01/02  09:00:00,199287493.3,113116689.2,0,0,87854356.29,0
 01/02  10:00:00,181689407.2,104328033.1,0,0,79257144.51,0
 01/02  11:00:00,170854708.4,91542659.33,0,0,78713560.33,0
 01/02  12:00:00,149581447.3,73976917.87,0,0,56783396.39,0
 01/02  13:00:00,147767224.5,54579278.4,0,0,56392713.63,0
 01/02  14:00:00,138943580.7,67650865.24,0,0,48773141.33,0
 01/02  15:00:00,124703644.2,82736675.39,0,0,35190107.73,0
 01/02  16:00:00,141685959.9,89560810.69,0,0,48770584.42,0
 01/02  17:00:00,179116843.6,108339158.9,0,0,56481309,0
 01/02  18:00:00,214872822.6,93258339.59,0,0,70969265.95,0
 01/02  19:00:00,233692071.1,76220580.27,0,0,86687867.44,0
 01/02  20:00:00,204837366.4,72006054.17,0,0,65848726.04,0
