Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/01  01:00:00,1925449220,1340759371,272613630.6,98875315.88,189458.0265,0,35493887.86
 01/01  02:00:00,1932665045,1425860276,286935855.1,48523417.25,189444.3177,0,60406374.31
 01/01  03:00:00,1939363169,1418674687,283564292.3,49381068.06,189430.757,0,35485608.04
 01/01  04:00:00,1938663956,1430482653,282507098.8,50447977.34,189404.0529,0,72016433.26
 01/01  05:00:00,1942267717,1440338359,280767270.4,52214261.39,378913.9349,0,60392434.35
 01/01  06:00:00,1941840675,1444817551,279988425.5,53141547.36,189435.677,0,35487288.14
 01/01  07:00:00,1937317495,1457579031,280070206.2,53244159.01,189421.4396,0,60395428.54
 01/01  08:00:00,1907295355,1421473112,278145746.3,54581810.97,189465.1272,0,72015242.84
 01/01  09:00:00,2334564772,1167960855,274171110.5,98562191.73,383014.9934,0,305621198.2
 01/01  10:00:00,2350610564,1105077294,265628482.8,112526709.4,382881.0151,0,332776221.4
 01/01  11:00:00,2349136492,1055885303,256368735.7,112784166,382954.2216,0,334600397
 01/01  12:00:00,2343071403,1036477679,248103578,113149684.3,382858.111,0,334686869.1
 01/01  13:00:00,2323546323,1046281324,242701980.4,113607185.4,191483.513,0,361341169
 01/01  14:00:00,2315635478,1044831251,238825557.9,114131053.2,382901.1592,0,334717186.5
 01/01  15:00:00,2307035172,1042217324,238115536.5,114666777.2,382813.0103,0,334709734.5
 01/01  16:00:00,2291684890,1053381191,238873372.8,115165333,382905.6079,0,117187988.7
 01/01  17:00:00,1868174687,1171432448,235255010.8,115604022.4,189399.9776,0,102152864.4
 01/01  18:00:00,1885206135,1187716975,240366736,115876361.2,189392.9811,0,89049632.99
 01/01  19:00:00,1883757023,1221612933,242603278.7,115894072,189371.45,0,60950088.94
 01/01  20:00:00,1882476552,1235108081,240017812.7,115930737,378856.5871,0,35485249.67
 01/01  21:00:00,1871365756,1221141521,240472159.8,115940162.7,189407.8487,0,72016220.71
 01/01  22:00:00,1864527944,1232133677,239768724.6,115948136.4,189453.9964,0,60393865.62
