Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,391242338.2,573712679.4,0,400731.1609,6838166.586,0,60983461.15
 01/01  02:00:00,392933964.9,702958233.5,0,0,5522301.133,0,83854733.58
 01/01  03:00:00,349214673.3,737787689,0,0,5750638.335,0,58940084.11
 01/01  04:00:00,348693272.3,750612006.6,0,0,5520163.061,0,70546485.1
 01/01  05:00:00,373714031.7,749025244.5,0,0,5523720.959,0,85395363.97
 01/01  06:00:00,420921391.6,745539076.1,0,0,8327039.584,0,88037972.94
 01/01  07:00:00,678136179.3,699001185.7,0,2238367.011,13771916.98,0,150380197.6
 01/01  08:00:00,776185903.9,783720816.2,0,0,13688464.28,0,206287918.6
 01/01  09:00:00,811163672.2,626243142.2,0,0,13575683.4,0,244731573.6
 01/01  10:00:00,610716858.2,340342866.4,0,0,15040705.75,0,196558471.3
 01/01  11:00:00,421951671.5,369246459.2,0,0,13772050.11,0,167598435
 01/01  12:00:00,423460187.3,343043105.3,0,0,13655416.47,0,149230726.8
 01/01  13:00:00,417225260.7,348664280.8,0,0,10884042.66,0,115813950.7
 01/01  14:00:00,386193404,400981779.8,0,0,11087098.86,0,88383166.11
 01/01  15:00:00,382341343.6,428503295,0,0,8328913.386,0,87131956.5
 01/01  16:00:00,384473140.8,467022063.2,0,0,8263162.358,0,98499422.57
 01/01  17:00:00,550787193.3,724342495.4,0,0,8197514.571,0,86913114.34
 01/01  18:00:00,666513385.7,624798991.4,0,0,11012756.91,0,508968163.6
 01/01  19:00:00,885376449.9,539580196.3,0,2925471.91,13772146.1,0,542084738.1
 01/01  20:00:00,925289633,440467081.8,0,2428079.917,13611335.1,0,547490632.6
 01/01  21:00:00,981523405.5,389258098.1,0,2355683.734,10921033.93,0,545014439.5
 01/01  22:00:00,884565182.9,374486626.6,0,2034775.435,13771977.59,0,547553753.6
 01/01  23:00:00,713530847.3,418507436.6,0,0,10950288.22,0,585003581.8
 01/01  24:00:00,517451972.2,478399222.4,0,810994.1284,5624478.763,0,511448310.1
 01/02  01:00:00,346380749.4,516141459.2,0,0,5520989.975,0,429011994.5
 01/02  02:00:00,324966626.3,540032139.6,0,0,4348708.591,0,58793810.05
 01/02  03:00:00,303357833.4,548280879.1,0,0,4130775.129,0,58502829.64
 01/02  04:00:00,309808804.3,551145455.6,0,1491504.543,4348451.022,0,58503151.26
 01/02  05:00:00,338957224.8,535099510.6,0,2413205.959,5521240.638,0,96743800.98
 01/02  06:00:00,424851465.1,514010326.1,0,2705081.645,7082664.579,0,111846220.5
 01/02  07:00:00,755876552.3,450145356.9,0,3522134.703,13592622.65,0,198699653.3
 01/02  08:00:00,876042781.7,414469670.4,0,2205129.179,16404872.19,0,253200907.1
 01/02  09:00:00,725038631.8,453813748.1,0,1947133.475,14939724.53,0,208929800.3
 01/02  10:00:00,639080111,274528722.9,0,1736733.533,12345722.25,0,154139113.1
 01/02  11:00:00,405346957.6,350179099.1,0,1935548.717,11005584.71,0,147007891.3
 01/02  12:00:00,408151889.8,349123514.6,0,1655401.776,12318939.07,0,89239761.24
 01/02  13:00:00,404225854,342691038.6,0,1520659.781,11088070.19,0,126876061.8
 01/02  14:00:00,396287951.7,374787075.2,0,0,9478144.452,0,87669073.98
 01/02  15:00:00,395783170.9,414850848.7,0,0,8321676.08,0,87013813.78
 01/02  16:00:00,406934358.3,399838287.3,0,1913693.945,8328573.817,0,86891548.74
 01/02  17:00:00,577141821,674753388.3,0,2054645.072,8328138.371,0,98532459.85
 01/02  18:00:00,704745523.9,592362132.7,0,2344346.966,11007382.37,0,510103705.9
 01/02  19:00:00,899821877.7,496060764.4,0,3812281.175,14939646.13,0,586546501.5
 01/02  20:00:00,950437519.3,421209323.3,0,2602514.766,16405524.49,0,581792442.9
 01/02  21:00:00,1012422237,367655721.6,0,2491588.346,13622979.03,0,548152175.6
 01/02  22:00:00,937287834.9,326112228.5,0,2016911.703,15122153.05,0,608513706.7
 01/02  23:00:00,728907399.5,376035515.1,0,401953.9882,12319655.83,0,563004021.5
 01/02  24:00:00,509007744.1,443352808.7,0,865804.4438,6837685.751,0,482547866.4
 01/03  01:00:00,346911199.3,467435952,0,198949.7863,5750465.047,0,455455352.5
 01/03  02:00:00,323818017.2,482930608.8,0,0,4130777.316,0,58559872.83
 01/03  03:00:00,302497720.6,491023794.9,0,0,4348363.81,0,58507666.76
 01/03  04:00:00,301943131,496271669.5,0,0,4131080.393,0,58507828.93
 01/03  05:00:00,343101059.7,512114579.6,0,2303038.497,5750618.513,0,71276686.59
 01/03  06:00:00,431222651.2,525988129.7,0,2768320.242,6837986.11,0,116320995.5
 01/03  07:00:00,764871419.8,490735175,0,3716809.424,13771933.42,0,193888160
 01/03  08:00:00,885772169,462541003.1,0,2243060.258,16336756.26,0,264446708.2
 01/03  09:00:00,720874653.4,525191931.5,0,0,15096382.02,0,227246897.3
 01/03  10:00:00,632134444.8,354301175.4,0,0,12339845.31,0,153432969.5
 01/03  11:00:00,397666899.5,449074653.1,0,0,10824995.68,0,119360261.3
 01/03  12:00:00,404950232.3,463691463.1,0,0,12346265.26,0,116520911.2
 01/03  13:00:00,400171117.5,450683819.8,0,0,11022759.06,0,117286221.1
 01/03  14:00:00,398610842.1,456256138.9,0,0,9734061.408,0,97214118.87
 01/03  15:00:00,397550890.7,494204147.2,0,0,8198578.691,0,86936610.03
 01/03  16:00:00,400609659.9,489706881.5,0,0,8212531.558,0,86912543.13
 01/03  17:00:00,576380884.5,752641062.7,0,0,8328441.923,0,98555382.42
 01/03  18:00:00,699182367.6,684897091,0,0,11087526.34,0,510238349
 01/03  19:00:00,901456260.2,574707365.4,0,3320781.555,15014890.56,0,586535329.5
 01/03  20:00:00,949026255.4,498585834.5,0,2618371.533,16405300.02,0,581771504.2
 01/03  21:00:00,1011692655,453271716.2,0,2504299.995,13575841.31,0,548137380.6
 01/03  22:00:00,938042557.8,425327787.9,0,2001439.843,14993477.06,0,590843048
 01/03  23:00:00,731692559.4,466819717.9,0,404740.9856,12319450.25,0,579673969.8
 01/03  24:00:00,511477656.8,524727241.5,0,903118.4295,7082939.204,0,481512194.8
 01/04  01:00:00,348972105.7,545005259.1,0,199655.6386,5520164.01,0,455641854.1
 01/04  02:00:00,326257111.1,559456941,0,0,4348821.188,0,58558933.05
