Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,210247057.6,54826679.91,121630967.5,1075679.469,0,18068269.59
 01/01  02:00:00,236395663.5,65089064.81,147941821.8,893949.7924,0,17921798.99
 01/01  03:00:00,233661704.9,65591213.41,149358999.2,780861.6019,0,17889160.42
 01/01  04:00:00,237236781.3,66305464.32,153024157.2,683780.8862,0,17881646.42
 01/01  05:00:00,244455040,66602125.59,154519823.9,599311.0605,0,30356261.04
 01/01  06:00:00,265755269.2,60510687.83,154464470.9,522148.8186,0,30806027.42
 01/01  07:00:00,330032624.9,46868026.97,157663248.8,495453.6263,0,39320672.29
 01/01  08:00:00,414332385.9,28996965.64,214507169.1,526902.2375,0,75000708.8
 01/01  09:00:00,345542501.9,37769544.43,102819489.6,661313.571,0,198416049.6
 01/01  10:00:00,247307447.7,31758647.19,59575675.39,117902.0394,0,204063524.8
 01/01  11:00:00,173971625.4,46229689.61,62676100,267167.0655,0,162878856.4
 01/01  12:00:00,166238738.7,42722897.46,57450361.67,468848.096,0,155752732
 01/01  13:00:00,162295103.4,41854066.37,53662016.49,610558.0414,0,151983508.8
 01/01  14:00:00,161656653.7,32117428.85,50745967.32,864841.8089,0,137347991.6
 01/01  15:00:00,163121614.9,30480730.43,50553299.92,1509895.562,0,156628439
 01/01  16:00:00,167717841.3,34080876.32,51910789.36,1919949.39,0,133479064.8
 01/01  17:00:00,262842101.3,33524191.69,112504820.3,3494233.323,0,30465805.32
 01/01  18:00:00,308916091.8,34897533.58,127397142.5,3021283.071,0,30807557.67
 01/01  19:00:00,286372873.9,27517346.71,75497300.75,2650997.961,0,31181823.39
 01/01  20:00:00,270550565.9,27475735.55,67064651.67,2478335.334,0,45038064.75
 01/01  21:00:00,267785553,27227488.74,54384856.57,2553413.031,0,52940317.69
 01/01  22:00:00,252930652.2,27608204.52,48813008.29,2621936.249,0,45186374.9
 01/01  23:00:00,219853027.7,31391151.86,61930143.67,1755813.725,0,72288541.31
 01/01  24:00:00,187028482.5,36191850.56,80845786.25,1308088.135,0,47766866.86
 01/02  01:00:00,180277591.4,41612316.63,92752224.98,1154297.648,0,18077377.34
 01/02  02:00:00,185496538,43730223.82,99236322.95,1036526.781,0,17926338.56
 01/02  03:00:00,185955253.1,44770946.52,101525175.1,933430.2742,0,17888359.85
 01/02  04:00:00,185517090.1,45106578.37,101171336.4,846866.6928,0,17884261.81
 01/02  05:00:00,186646276.8,42566925.35,96560880.74,781309.9631,0,38112694.74
 01/02  06:00:00,205848939.3,31969929.27,91492244.17,731808.3001,0,32629353.28
 01/02  07:00:00,265688952.3,11606164.09,69392069.13,861589.9936,0,73619421.8
 01/02  08:00:00,331529549,8363858.19,104121191.9,1302771.533,0,80597556.28
 01/02  09:00:00,271200895.5,10728723.36,65297034.62,713780.7391,0,199849494.3
 01/02  10:00:00,217454075.3,8395328.921,33424775.94,143406.9447,0,169691069.9
 01/02  11:00:00,146867550.9,27520356.05,33042149.61,270104.3531,0,148911454.9
 01/02  12:00:00,144685847.3,27323044.71,32484449.02,451962.4981,0,159451232.7
 01/02  13:00:00,140024589.4,29061987.7,29662491.97,655533.6666,0,146223443.5
 01/02  14:00:00,148310264.3,24817125.33,34478860.09,1490435.042,0,143562081.2
 01/02  15:00:00,156365728.1,27319215.65,41677497.95,1695460.325,0,150715906.1
 01/02  16:00:00,161443129.5,30714000.45,43656720.67,2143801.523,0,138422142.3
 01/02  17:00:00,260939279.7,27019074.54,108694205,3779682.289,0,35605635.16
 01/02  18:00:00,307156401.4,28399663.63,119890711.2,3160455.606,0,31181991.22
 01/02  19:00:00,268727446.4,21887449.47,64864673.07,2826201.603,0,60688324.31
 01/02  20:00:00,252583709.6,21659603.38,52731340.26,3144745.319,0,45369245.51
 01/02  21:00:00,255585457.5,21780950.49,41388187.19,3349986.964,0,45179663.61
 01/02  22:00:00,232555368.1,21063557.05,32272418.12,3985729.546,0,61395937.62
 01/02  23:00:00,193187277.4,25315746.72,42716072.51,2403730.91,0,59938477.34
 01/02  24:00:00,165966205.9,29055476.98,63619632.63,1532507.876,0,31127001.78
 01/03  01:00:00,159246328.1,32227152.24,71661823.45,1228439.932,0,30534633.27
 01/03  02:00:00,164020104.8,34501432.83,77697010.48,1111954.211,0,17892072.88
 01/03  03:00:00,167336950.4,36074029.03,82839522.83,1007103.89,0,17886637.09
 01/03  04:00:00,170333239,37709871.78,85925123.86,911420.5978,0,25667432.96
 01/03  05:00:00,180764104,39683441.77,90644981.47,815615.6124,0,18040533.75
 01/03  06:00:00,210984845,34330564.18,96622326.1,732847.6367,0,44083899.77
 01/03  07:00:00,282264500,18139902.98,86045548.99,773346.6254,0,61375074.33
 01/03  08:00:00,357005156.8,14286068.15,130071828.7,872379.8521,0,95201753.84
 01/03  09:00:00,295118309.1,22283455.28,90802382.91,650537.3713,0,187838912.4
 01/03  10:00:00,230234597,22562680.32,47525049.47,66613.99251,0,180927051.9
 01/03  11:00:00,167684948.3,40720495.56,56287238.55,178083.2709,0,151553672.1
 01/03  12:00:00,168576590.5,40576194.09,58376970.24,356750.7661,0,157037876.4
 01/03  13:00:00,165528399,41422617.6,56593466.74,527204.6559,0,133980768.5
 01/03  14:00:00,169464299,34479513.75,57906659.93,677043.8148,0,158657703.9
 01/03  15:00:00,171633194.2,33857744.55,58105536.21,996776.976,0,135956777.6
 01/03  16:00:00,173717774.7,37748813.38,57474547.48,1531277.605,0,153601177.1
 01/03  17:00:00,274896216.5,34442207.16,123431799.1,2999024.894,0,21796418.49
 01/03  18:00:00,329210561.8,34551412.76,142558684.5,2546642.692,0,31099624.37
 01/03  19:00:00,286193328.3,28010197.98,82732254.11,2424502.48,0,60124666.81
 01/03  20:00:00,273071913.9,28970189.54,74114765.36,2249524.551,0,58907662.09
 01/03  21:00:00,276683641.7,30055117.24,63754896.25,2081462.076,0,45187856.38
 01/03  22:00:00,256751477.1,31137333.34,58439924.96,2008019.429,0,61659298.47
 01/03  23:00:00,224058400.4,34886966.92,74502616.5,1464211.401,0,59616882.35
 01/03  24:00:00,194305724.8,40949179.69,92227498.1,1237460.291,0,30924603.43
 01/04  01:00:00,185519402.1,42484485.47,98028280.04,1113226.203,0,18071511.26
 01/04  02:00:00,189176393.9,44222933.82,102942863.3,1003056.796,0,26037859.92
 01/04  03:00:00,191402902,45795852.23,106999039.2,898425.155,0,22072442.25
 01/04  04:00:00,194385091.8,47464997.44,110071163.4,803607.9758,0,25664360.44
 01/04  05:00:00,201044746.5,48376982.49,111007662.7,722584.5448,0,18046303.5
 01/04  06:00:00,222268072.5,38573731.17,107969190.3,664921.6002,0,44417663.27
 01/04  07:00:00,288138051.8,19946416.74,91957594.6,727392.7001,0,61641624.5
 01/04  08:00:00,358268342,14248484.17,131423943.5,780692.6801,0,85596508.32
 01/04  09:00:00,289154296.3,18281691.3,84566132.85,643587.882,0,197980520.7
 01/04  10:00:00,225201270.3,15689077.06,41518705.67,77935.19087,0,167590243.2
 01/04  11:00:00,158950712.7,34953808.4,46441497.34,192724.6861,0,164853659.8
 01/04  12:00:00,159282101.8,35170838.91,48288601.02,372948.199,0,144354494.8
 01/04  13:00:00,155158718,35877005.37,45423473.74,548181.7355,0,146535039
 01/04  14:00:00,158176045.4,28436613.1,44976744.44,858331.7905,0,146890467.8
 01/04  15:00:00,163899239.4,29237048.73,49689108.24,1308712.379,0,148026205.5
 01/04  16:00:00,171806249.9,34273754.13,54789425.56,1653403.738,0,141943164.1
 01/04  17:00:00,282467611,34167366.21,131127378.7,2874839.89,0,33892160.36
 01/04  18:00:00,350133418.3,38759833.9,163893097.1,2135086.508,0,31165366.83
 01/04  19:00:00,311881912.4,33540721.82,108864324.7,1981016.013,0,60511293.44
 01/04  20:00:00,301463999.9,35282494.66,103007254.1,1749121.725,0,45503473.99
 01/04  21:00:00,305721841.4,36743784.13,93279523.01,1574815.952,0,45198707.33
 01/04  22:00:00,288102052,38957842.84,90259689.95,1496652.68,0,75162390.05
 01/04  23:00:00,255860216.1,43373114.63,106436705.4,1299556.665,0,46073098.55
 01/04  24:00:00,229225858.4,54734743.2,127245617.7,1110332.257,0,44084241.16
 01/05  01:00:00,224723924,56850197.35,137341013.2,972574.6122,0,18066229.2
 01/05  02:00:00,224672336,57101524.96,138545390.2,868210.0099,0,17906099.82
 01/05  03:00:00,222550151.2,57482554.26,138250737.4,774452.2466,0,17888721.14
 01/05  04:00:00,231713936.4,61320434.67,147514983.1,666883.1212,0,25667461.19
 01/05  05:00:00,260923263.2,69953861.61,171038855.3,527385.7618,0,30404668.49
 01/05  06:00:00,303564507.9,68105375.83,189463721.2,406722.2315,0,31523134.79
 01/05  07:00:00,383247044.2,54235441.9,187296654.5,436129.799,0,75018213.43
 01/05  08:00:00,485113923.3,41509440.85,258803676.7,463595.3085,0,80740134.82
 01/05  09:00:00,379508761.9,52146247.66,177091523.9,388218.2912,0,203525801.4
 01/05  10:00:00,279597729.7,46049961.96,96934549.37,1196.622197,0,166964735.2
 01/05  11:00:00,211471384.1,55995958.76,99011938.31,121647.0681,0,152903173.8
 01/05  12:00:00,202277952.9,53413489.92,90945938.79,370972.382,0,156403097
 01/05  13:00:00,193812614.1,52915155.87,83937559.98,583406.3249,0,147209364.5
