Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,2900701352,574402127.5,0,52185585.77,0,9975600
 01/01  02:00:00,2942599235,725616326.2,0,53901738.53,0,9975600
 01/01  03:00:00,2867799133,506142612.6,0,50413768.82,0,9975600
 01/01  04:00:00,2888232723,743605290.9,0,50232991.87,0,9975600
 01/01  05:00:00,2935913122,599914065.1,1880082.169,50963567.11,0,9975600
 01/01  06:00:00,3000968667,408545938.8,1880056.013,50371755.39,0,9975600
 01/01  07:00:00,3363254702,825796858.3,0,50075171.74,0,9975600
 01/01  08:00:00,3297762946,522021164.3,1880246.651,50252694.99,0,9975600
 01/01  09:00:00,3218177454,251371139.8,0,49963866.28,0,9975600
 01/01  10:00:00,3108229219,362592412.6,0,51235415.57,0,9975600
 01/01  11:00:00,2934684244,259129770.7,0,53196878.18,0,9975600
 01/01  12:00:00,2912783371,132005639.3,0,53235919.8,0,35134629.4
 01/01  13:00:00,2952625260,180699685.4,0,54765216.94,0,22561841.15
 01/01  14:00:00,2934639517,96215875.24,0,53686798.03,0,35843660.36
 01/01  15:00:00,2913829327,69683984.36,0,54129703.87,0,35225281.49
 01/01  16:00:00,2937819709,110915308.6,0,53717646.96,0,9975600
 01/01  17:00:00,3272119438,80270275.44,0,53463106.41,0,22352956.11
 01/01  18:00:00,3432838304,54089435,0,52741458.91,0,22351082.02
 01/01  19:00:00,3382074052,163036120.9,0,51980990.75,0,9975600
 01/01  20:00:00,3293365598,200858702.4,0,51439592.32,0,22352823.3
 01/01  21:00:00,3270859801,122385569,0,50772591.75,0,22343464.18
 01/01  22:00:00,3203987383,207771012.1,0,50340857.52,0,22660433.76
 01/01  23:00:00,3115734903,280819434.5,0,50205545.42,0,22577156
 01/01  24:00:00,3005750321,210163562.6,0,50244868.11,0,22357680.6
 01/02  01:00:00,2981128540,366917909.8,0,50113443.76,0,9975600
 01/02  02:00:00,2981262370,439547542.1,0,49525287.89,0,9975600
 01/02  03:00:00,2959779626,351818584.5,0,49790897.08,0,9975600
 01/02  04:00:00,2981949032,498701185,0,49858497.11,0,9975600
 01/02  05:00:00,3039866737,1760577825,0,50786043.8,0,9975600
 01/02  06:00:00,3197945366,2927298907,1098349.624,53171374.18,0,9975600
 01/02  07:00:00,3658329556,5655914536,1196441.719,49870873.13,0,9975600
 01/02  08:00:00,3827931509,5860609293,0,53018257.49,0,53268021.4
 01/02  09:00:00,5076602753,3935292829,0,57857715.59,0,137619312.9
 01/02  10:00:00,4940914805,3411306674,0,61839915.47,0,165858609
 01/02  11:00:00,4727660815,3004022823,0,60913754.4,0,166791861.2
 01/02  12:00:00,4693172423,2778259828,0,59625116.66,0,195702632.3
 01/02  13:00:00,4572027346,2860934238,0,60256990.7,0,239237659.2
 01/02  14:00:00,4669715087,2915541848,0,60156736.64,0,233038873.2
 01/02  15:00:00,4658746093,3070298062,0,60255750.72,0,165562682.2
 01/02  16:00:00,4736264855,2927437643,0,61801919.37,0,136545686.6
 01/02  17:00:00,5158980091,2875555183,0,60987945.02,0,180519170.5
 01/02  18:00:00,4321690457,3350984788,0,60359138.78,0,129267179.4
 01/02  19:00:00,3937003510,3513779860,0,59579092.06,0,99482333.99
 01/02  20:00:00,3856016201,3425445308,0,59319819.93,0,68065320.22
 01/02  21:00:00,3717077068,3391981009,0,58997590.34,0,66866425.39
 01/02  22:00:00,3618180460,3320498180,0,58724382.99,0,49213453.72
 01/02  23:00:00,3285422571,0,1749005.862,54590077.86,0,22462071.91
 01/02  24:00:00,3136056234,0,0,52239977.53,0,22455674.23
 01/03  01:00:00,2899039974,0,0,51511860.74,0,9975600
 01/03  02:00:00,2895744748,0,0,50791126.43,0,9975600
 01/03  03:00:00,2899132450,0,0,50103960.19,0,9975600
 01/03  04:00:00,2915252563,0,0,49474547.9,0,9975600
 01/03  05:00:00,3044055914,737502115.4,0,50460147.93,0,9975600
 01/03  06:00:00,3261629058,1801619289,0,61063354.89,0,9975600
 01/03  07:00:00,3657640598,2657373721,0,58174431.89,0,9975600
 01/03  08:00:00,3806908558,4891859797,0,57601225.42,0,53223591.41
 01/03  09:00:00,5012355002,3933072028,0,59402126.48,0,137811380.1
 01/03  10:00:00,4874166874,3726163807,0,60871879.61,0,166022563.4
 01/03  11:00:00,4698921243,3518602095,0,61856706.14,0,166909831.9
 01/03  12:00:00,4699688776,3392367476,0,62553867.17,0,196046654.7
 01/03  13:00:00,4577700428,3377044849,0,63047998.52,0,239754636.6
 01/03  14:00:00,4700928399,3397599753,0,63424416.92,0,233511616
 01/03  15:00:00,4720324154,3479986894,0,64901024.57,0,165723247.4
 01/03  16:00:00,4723177595,3530969092,0,64084141.22,0,136646927.6
 01/03  17:00:00,5185151756,3562753137,0,64136633.88,0,180736950.2
 01/03  18:00:00,4363971506,3592163886,0,63563242.81,0,129355794.8
 01/03  19:00:00,3976272757,3650714917,0,62613598.32,0,100475172.2
 01/03  20:00:00,3886949941,3675653744,0,61879357.58,0,67188404.16
 01/03  21:00:00,3752720422,3703202109,0,61333116.46,0,66892197.79
 01/03  22:00:00,3663949217,3733106459,0,60985853.8,0,49219005.31
 01/03  23:00:00,3321091992,0,0,62758885.57,0,22455709.06
 01/03  24:00:00,3168872108,0,0,63028760.24,0,22458146.16
 01/04  01:00:00,2931766905,0,0,62629887.18,0,9975600
 01/04  02:00:00,2931282373,0,0,62151094.57,0,9975600
 01/04  03:00:00,2930713647,0,0,61588870.45,0,9975600
 01/04  04:00:00,2930691906,1693447.817,0,60958302.2,0,9975600
 01/04  05:00:00,3036899243,574983440.7,0,60216057.95,0,9975600
 01/04  06:00:00,3205936272,1274524756,0,60548172.41,0,9975600
 01/04  07:00:00,3640317877,2028519792,0,58613532.44,0,9975600
 01/04  08:00:00,3807239286,4289615682,0,58717620.95,0,53243730.96
 01/04  09:00:00,5014837537,3525803285,0,60475880.7,0,137659898.2
 01/04  10:00:00,4873678608,3513867747,0,62075122.07,0,166155897.3
 01/04  11:00:00,4698465602,3489915451,0,63043611.14,0,169795398.9
 01/04  12:00:00,4734706138,3258702203,0,65809459.46,0,193251008.8
 01/04  13:00:00,4577361664,3127048185,0,64161210.36,0,240246167.5
 01/04  14:00:00,4700388400,2978736655,0,64426147.6,0,233954141.2
 01/04  15:00:00,4700610588,3073104018,0,64629281.36,0,165867522.6
 01/04  16:00:00,4790086299,3169418716,0,68019355.58,0,136788290.2
 01/04  17:00:00,5190476060,3601823245,0,65021784.34,0,180950007.1
 01/04  18:00:00,4365349490,4028679729,0,64487702,0,129442179.3
 01/04  19:00:00,3978734760,4178781394,0,63644499.89,0,101589077.2
 01/04  20:00:00,3889845370,4166828818,0,62961294.5,0,66335284.48
 01/04  21:00:00,3755325403,4044330077,0,62407877.52,0,66935088.26
 01/04  22:00:00,3666695650,4123562142,0,62016577.99,0,49213059.73
 01/04  23:00:00,3322700872,0,0,66376603.63,0,22454138.85
 01/04  24:00:00,3168631014,0,0,67264351.34,0,22401864.27
 01/05  01:00:00,2933976543,0,0,64931268.62,0,9975600
 01/05  02:00:00,2936018549,8640179.248,0,64297867.93,0,9975600
 01/05  03:00:00,2937059339,8977877.35,0,64365814.84,0,9975600
 01/05  04:00:00,2937278291,9810797.9,2193075.5,62334638.95,0,9975600
 01/05  05:00:00,3097902809,830181168.3,1462130.494,65920202.89,0,9975600
 01/05  06:00:00,3275202506,1896740166,0,64686384.79,0,9975600
 01/05  07:00:00,3680157714,2215664033,0,60600314.52,0,9975600
 01/05  08:00:00,3818479043,7004285178,0,58667661.04,0,53258456.72
 01/05  09:00:00,5022028434,5303225669,0,60427849.92,0,136768330.2
 01/05  10:00:00,4886557717,4529757619,0,62105711.07,0,166349114.7
 01/05  11:00:00,4724532465,3694977708,0,63277411.64,0,170077567.9
 01/05  12:00:00,4746785072,3179859954,0,64070059.75,0,193527374.5
 01/05  13:00:00,4633251970,3158663772,0,64683320.96,0,240814600.2
 01/05  14:00:00,4758880435,3199551139,0,65471425.67,0,234455458.6
 01/05  15:00:00,4742296194,3215884692,0,66751771.04,0,166294470.7
 01/05  16:00:00,4748949772,3637936731,0,69236261.94,0,136927971.5
 01/05  17:00:00,5195077756,3870277625,0,68989466.21,0,185833908.3
 01/05  18:00:00,4368211420,4276835347,0,66436572.09,0,125769593.8
 01/05  19:00:00,3980533344,4214678310,0,65056225.36,0,101701741.2
 01/05  20:00:00,3891934734,4323780077,0,64159933.94,0,66356756.24
 01/05  21:00:00,3758728752,4506451355,0,63506713.78,0,73563272.46
 01/05  22:00:00,3670928062,4683704930,0,63019798.67,0,42992907.57
 01/05  23:00:00,3325128991,0,0,68857508.59,0,22464381.4
 01/05  24:00:00,3170269380,0,0,68947811.71,0,22443218.79
 01/06  01:00:00,2935885959,5527045.427,0,67062087.36,0,9975600
 01/06  02:00:00,2934521723,9028644.324,0,65690566.02,0,9975600
 01/06  03:00:00,2935712188,20611483.63,0,64983643.45,0,9975600
 01/06  04:00:00,2935888070,24846089.94,0,65135708.83,0,9975600
 01/06  05:00:00,3097862839,687001422.9,1644423.264,66567270.73,0,9975600
 01/06  06:00:00,3270488570,1529272543,0,67104675.81,0,9975600
 01/06  07:00:00,3696505110,1974507215,0,62362157.18,0,9975600
 01/06  08:00:00,3818705485,7017046490,0,59375986.38,0,53275066.27
 01/06  09:00:00,5023501308,5251588913,0,61128431.21,0,137124854.4
 01/06  10:00:00,4888915283,4753979056,0,62705277.51,0,166460512.7
 01/06  11:00:00,4715001272,4480418548,0,63687862.03,0,170213665.5
 01/06  12:00:00,4709734390,4466059548,0,64348466.11,0,193818610
 01/06  13:00:00,4587197302,4583619697,0,64750473.46,0,241326004.2
 01/06  14:00:00,4709681471,4512771168,0,64967488.52,0,234922872.8
 01/06  15:00:00,4712699931,4564076146,0,65348747.68,0,166198221.2
 01/06  16:00:00,4728656693,4649830340,0,65992098.71,0,141192367.8
 01/06  17:00:00,5191376701,5034467984,0,66227261.63,0,186841509.8
 01/06  18:00:00,4379226145,5530045478,0,65195458.35,0,121310131.6
 01/06  19:00:00,3993727728,5785028847,0,63935972.31,0,101761904.3
 01/06  20:00:00,3905155055,5880968566,0,63118714.53,0,66394300.53
 01/06  21:00:00,3771447240,6028028354,0,62493713.87,0,81327032.83
 01/06  22:00:00,3683367412,6155401955,0,61999627.32,0,35710838.18
 01/06  23:00:00,3321955633,0,0,65838074.68,0,22472183.71
 01/06  24:00:00,3168895123,8806457.197,0,63970934.35,0,22444765.93
 01/07  01:00:00,2841977215,36489328.97,0,62416880.36,0,9975600
 01/07  02:00:00,2877266082,72849285.06,0,61895006.55,0,9975600
 01/07  03:00:00,2891222130,125333293.1,0,59600571.94,0,9975600
 01/07  04:00:00,2892507680,250316074.6,0,58256351.6,0,9975600
 01/07  05:00:00,2924665704,781496403.7,0,56137628.58,0,9975600
 01/07  06:00:00,3051190122,1852040475,0,53102755.33,0,9975600
 01/07  07:00:00,3633004285,2457449263,0,55609964.23,0,9975600
 01/07  08:00:00,3598107438,8047567730,28081933.39,58763840.28,0,23128744.8
 01/07  09:00:00,3861181272,6652601842,0,60704101.63,0,65302236.79
 01/07  10:00:00,3720725154,5698271189,0,59567258.61,0,84696477.76
 01/07  11:00:00,3548039750,4951232614,0,60348390.04,0,83854121.91
 01/07  12:00:00,3565079859,4568789927,0,60951521.74,0,102192503
 01/07  13:00:00,3224482604,4511704815,0,61218887.89,0,84874984.99
 01/07  14:00:00,3224070245,4470204501,0,61829199.27,0,83663965.72
 01/07  15:00:00,3213982727,4756633687,0,63044403.98,0,80395716.71
 01/07  16:00:00,3203149861,5316109166,0,65836271.51,0,50864579.19
 01/07  17:00:00,3498082825,5702771058,0,66377710.02,0,64963649.6
 01/07  18:00:00,3543429885,5095327871,0,68498500.38,0,35630644.61
 01/07  19:00:00,3404601902,4726105.777,0,64346735.12,0,35392677.21
 01/07  20:00:00,3244143862,16914477.55,0,62035317.45,0,22689097.36
 01/07  21:00:00,3279132794,44411080.47,0,61248538.4,0,35365692.88
 01/07  22:00:00,3208290377,89452689.03,0,59064726.45,0,35870736.17
 01/07  23:00:00,3117292226,116833657.4,0,57658420.13,0,26836995.55
 01/07  24:00:00,3010525513,112373136.2,0,57037932,0,30796566.98
 01/08  01:00:00,2884659904,188629859.5,0,52260479.91,0,9975600
 01/08  02:00:00,2881535398,251665944.5,0,47213421.75,0,9975600
 01/08  03:00:00,2862994667,250485390.5,0,46658619.71,0,9975600
 01/08  04:00:00,2881100183,390594839.5,0,47982351.51,0,9975600
 01/08  05:00:00,2924120970,464412847.5,0,44705643.2,0,9975600
 01/08  06:00:00,2994014153,429001785.3,0,44307066.12,0,9975600
 01/08  07:00:00,3352911367,561947516.3,0,43966747.58,0,9975600
 01/08  08:00:00,3285416088,441477506,0,43779758.28,0,9975600
 01/08  09:00:00,3220802296,240487299,0,53378686.64,0,9975600
 01/08  10:00:00,3108329633,232994509.4,0,55233597.92,0,9975600
 01/08  11:00:00,2935622983,212968016.6,0,57467188.11,0,9975600
 01/08  12:00:00,2919814975,131032422.4,0,58376921.27,0,35082908.74
 01/08  13:00:00,2947244907,183050256.9,2191736.249,58772257.84,0,22569549.89
 01/08  14:00:00,2957304028,213342634.6,0,60643683.41,0,35829535.14
 01/08  15:00:00,2935289607,196247739.6,0,62077036.17,0,35410255.78
 01/08  16:00:00,2956255621,251061069.9,0,64329340.36,0,22361427.1
 01/08  17:00:00,3266519587,241727038.6,0,68820831.13,0,9975600
 01/08  18:00:00,3446846741,217968118.1,0,64103809.94,0,22361378.85
 01/08  19:00:00,3386966026,329127202.3,0,60658609.61,0,22361833.99
 01/08  20:00:00,3298985574,347199162.3,0,59649736.4,0,9975600
 01/08  21:00:00,3280126750,305132449.6,0,58663917.82,0,22359402.12
 01/08  22:00:00,3206272511,432660147.7,0,58867632,0,35374186.72
 01/08  23:00:00,3120227306,580981042.1,0,58485774.22,0,22366243.14
 01/08  24:00:00,3031353994,512008645.1,0,59450884.16,0,9975600
 01/09  01:00:00,2985489081,635927635.9,0,57624804.68,0,9975600
 01/09  02:00:00,2984148371,725666078.5,0,56584298,0,9975600
 01/09  03:00:00,2965986909,616520872.1,0,56572352.95,0,9975600
 01/09  04:00:00,2982828063,772657408.1,0,56167116.82,0,9975600
 01/09  05:00:00,3049566584,1824243692,1096858.553,58047634.29,0,9975600
 01/09  06:00:00,3206461563,2340836521,0,59210250.16,0,9975600
 01/09  07:00:00,3644365006,4048802944,0,52141935.3,0,9975600
 01/09  08:00:00,3819165544,6674287293,0,54808132.91,0,53198187.65
 01/09  09:00:00,5018917985,4571074806,0,57384276.62,0,137532523
 01/09  10:00:00,4873807048,3701738276,0,59331140.57,0,165055703.1
 01/09  11:00:00,4696964133,3300180820,0,60666708.01,0,170670623.1
 01/09  12:00:00,4699026123,3049817944,0,61643470.3,0,198176454.1
 01/09  13:00:00,4595542017,2913038406,0,63503448.5,0,241036171
 01/09  14:00:00,4702529592,2564505329,0,63302422.67,0,238198089.3
 01/09  15:00:00,4705590372,2471603044,0,64394721.94,0,163369778.8
 01/09  16:00:00,4725024979,2527870814,0,65739316.11,0,149900919.7
 01/09  17:00:00,5130290309,2899628720,0,65766430.02,0,187577717.8
 01/09  18:00:00,4362936415,3427466426,0,64419309.98,0,118230526.2
 01/09  19:00:00,3974825368,3376098999,0,63021117.9,0,97344525.25
 01/09  20:00:00,3902645623,3227425412,0,63202242.26,0,66471046.58
 01/09  21:00:00,3750616322,3254385596,0,61545846.01,0,81280628.99
 01/09  22:00:00,3662030107,3413181495,0,61113020.07,0,36305053.84
 01/09  23:00:00,3325120069,0,0,66026642.19,0,22541003.11
 01/09  24:00:00,3169673534,0,0,64243649.81,0,22458491.28
 01/10  01:00:00,2931975103,0,0,62780927.53,0,9975600
 01/10  02:00:00,2930779867,0,0,61599448.19,0,9975600
 01/10  03:00:00,2930074086,0,0,60890962.27,0,9975600
 01/10  04:00:00,2929778825,0,0,60095936.25,0,9975600
 01/10  05:00:00,3038280865,402325525.1,1646237.867,60466078.71,0,9975600
 01/10  06:00:00,3205527116,1365974462,0,60299783.94,0,9975600
 01/10  07:00:00,3620192673,1998345143,0,57781305.8,0,9975600
 01/10  08:00:00,3800346243,4299311474,0,58820752.21,0,53313898.01
 01/10  09:00:00,5009178196,3432000325,0,60561909.15,0,143681638.8
 01/10  10:00:00,4880467084,2881758516,0,62232969.79,0,159897170.4
 01/10  11:00:00,4731083702,2091219769,0,63378367.36,0,169549217.7
 01/10  12:00:00,4755407431,1589764123,0,64161169.14,0,204312201.5
 01/10  13:00:00,4636344383,1482527255,0,64745404.34,0,241259795.2
 01/10  14:00:00,4765218654,1489827188,0,65501880.72,0,238435111
 01/10  15:00:00,4764016666,1624902951,0,67251609.06,0,159075921.2
 01/10  16:00:00,4760184580,2245916923,0,70818865.55,0,154404896.8
 01/10  17:00:00,5129803028,3155791422,0,71297590.21,0,183492525.1
 01/10  18:00:00,4368430845,3821780999,0,67792559.4,0,125169409.8
 01/10  19:00:00,3979977716,4328114640,0,65466175.38,0,90212480.71
 01/10  20:00:00,3890996997,4254516046,0,64392376.73,0,74052415
 01/10  21:00:00,3757384042,4256650975,0,63655467.65,0,73478485.18
 01/10  22:00:00,3685446779,4012655759,0,64147107.51,0,36325311.56
 01/10  23:00:00,3324361269,0,0,66051516.61,0,35193256.96
 01/10  24:00:00,3170595943,0,0,65286078.6,0,22461379.22
 01/11  01:00:00,2930817499,0,0,61730723.58,0,9975600
 01/11  02:00:00,2921522718,0,0,54430734.84,0,9975600
 01/11  03:00:00,2922983953,0,0,53926878.36,0,9975600
 01/11  04:00:00,2924515300,0,0,53500478.95,0,9975600
 01/11  05:00:00,3028300613,200023026.2,0,53434713.15,0,9975600
 01/11  06:00:00,3196792971,1009072742,0,53010174.57,0,9975600
 01/11  07:00:00,3625294461,1270042449,2193476.403,60135687.69,0,9975600
 01/11  08:00:00,3816078261,4197583118,0,60419794.51,0,47641344.78
 01/11  09:00:00,5028598900,3803129020,0,61855455.91,0,144680366.9
 01/11  10:00:00,4875861032,3574658916,0,63224593.88,0,166255625
 01/11  11:00:00,4700813043,3099850741,0,64049235.66,0,168933427.9
 01/11  12:00:00,4710641664,2605955346,0,64717373.78,0,198909391.9
 01/11  13:00:00,4602416481,1926624206,0,65352498.28,0,243283881.8
 01/11  14:00:00,4743947688,1307866829,0,66128341.93,0,236761559.8
 01/11  15:00:00,4750877595,1137498492,0,68040391.83,0,162160774.5
 01/11  16:00:00,4759768057,1478975059,0,72326364.1,0,142132622.2
