Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,119804574.5,136370511.5,53277029.43,0,0,4597200
 01/01  02:00:00,118880211.7,186098627.3,51253555.92,0,0,4597200
 01/01  03:00:00,105544074.2,122359287.9,40114205.69,0,0,4597200
 01/01  04:00:00,135036952.8,182564638.9,67410297.01,0,0,4597200
 01/01  05:00:00,121317136.3,180063324.4,53690480.56,0,0,4597200
 01/01  06:00:00,106283787.3,119529455.7,40853918.73,0,0,4597200
 01/01  07:00:00,152497394.4,179750618.6,67516438.78,0,0,4597200
 01/01  08:00:00,118047553.9,176922331.4,55334708.84,0,0,4597200
 01/01  09:00:00,78470482.05,113912600,26175433.96,0,0,4597200
 01/01  10:00:00,86743625.82,157614430.8,32371856.79,0,0,4597200
 01/01  11:00:00,80478029.04,140855789,26111662.49,0,0,4597200
 01/01  12:00:00,65179805.4,84782457.99,13010226.05,0,0,4597200
 01/01  13:00:00,74355998.16,117342758.4,19989631.6,0,0,4597200
 01/01  14:00:00,60723320.77,74008406.91,8525258.109,0,0,4597200
 01/01  15:00:00,57847236.44,60028449.71,6323688.942,0,0,4597200
 01/01  16:00:00,62935094.3,89426087.25,9136035.229,0,0,4597200
 01/01  17:00:00,85355319.26,79081781.9,9479264.647,0,0,4597200
 01/01  18:00:00,88198210.12,44898007.28,7229342.103,0,0,4597200
 01/01  19:00:00,98607391.14,103703562.7,21389430.56,0,0,4597200
 01/01  20:00:00,102274789.1,95185750.49,25419764.59,0,0,4597200
 01/01  21:00:00,97636144.36,93326853.54,20799696.62,0,0,4597200
 01/01  22:00:00,107776053.3,112335095.8,29831923.52,0,0,4597200
 01/01  23:00:00,108075655.4,95843393.53,31220630.83,0,0,4597200
 01/01  24:00:00,106615593.2,95167012.1,29779145.45,0,0,4597200
 01/02  01:00:00,118508135,125097928.4,39577772.48,0,0,4597200
 01/02  02:00:00,119063260.1,106476257.9,41222002.77,0,0,4597200
 01/02  03:00:00,116046387,104085405.8,38223706.49,0,0,4597200
