Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,10180777.82,0,900000,0,2055600,0
 01/01  02:00:00,10180777.82,0,900000,0,2055600,0
 01/01  03:00:00,10180777.82,0,900000,0,2055600,0
 01/01  04:00:00,10180777.82,0,900000,0,2055600,0
 01/01  05:00:00,10180777.82,0,900000,0,2055600,0
 01/01  06:00:00,10180777.82,0,900000,0,2055600,0
 01/01  07:00:00,11294477.42,0,900000,0,2055600,0
 01/01  08:00:00,9027993.829,0,900000,0,2055600,0
 01/01  09:00:00,7736777.918,0,900000,0,2055600,0
 01/01  10:00:00,7620912.756,0,900000,0,2055600,0
 01/01  11:00:00,7599826.958,0,900000,0,2055600,0
 01/01  12:00:00,7561368.862,0,900000,0,2055600,0
 01/01  13:00:00,7601424.391,0,900000,0,2055600,0
 01/01  14:00:00,7649168.707,0,900000,0,2055600,0
 01/01  15:00:00,7628743.239,0,900000,0,2055600,0
 01/01  16:00:00,7820384.177,0,900000,0,2055600,0
 01/01  17:00:00,10170545.42,0,900000,0,2055600,0
 01/01  18:00:00,11294477.42,0,900000,0,2055600,0
 01/01  19:00:00,11294477.42,0,900000,0,2055600,0
 01/01  20:00:00,11294477.42,0,900000,0,2055600,0
 01/01  21:00:00,11294477.42,0,900000,0,2055600,0
 01/01  22:00:00,11294477.42,0,900000,0,2055600,0
 01/01  23:00:00,11294477.42,0,900000,0,2055600,0
 01/01  24:00:00,11294477.42,0,900000,0,2055600,0
 01/02  01:00:00,13246044.04,0,900000,0,2055600,0
 01/02  02:00:00,13246044.04,0,900000,0,2055600,0
 01/02  03:00:00,13246044.04,0,900000,0,2055600,0
 01/02  04:00:00,13246044.04,0,900000,0,2055600,0
 01/02  05:00:00,13246044.04,0,900000,0,2055600,0
 01/02  06:00:00,14058146.99,0,900000,0,2055600,0
 01/02  07:00:00,36001515.64,11090969.63,15812609.86,0,2055600,0
 01/02  08:00:00,39229980.74,6289085.435,18892044.98,0,2055600,0
 01/02  09:00:00,41838030.4,0,10645440.62,0,2055600,0
 01/02  10:00:00,38745620.12,0,7849509.287,0,2055600,0
 01/02  11:00:00,36258428.66,0,5633629.096,0,2055600,0
 01/02  12:00:00,34369303.82,0,3824196.463,0,2055600,0
 01/02  13:00:00,34732081.62,0,6302549.787,0,2055600,0
 01/02  14:00:00,33873061.08,0,3498509.992,0,2055600,0
 01/02  15:00:00,34730759.95,0,4036159.106,0,2055600,0
 01/02  16:00:00,35219584.27,0,4007071.449,0,2055600,0
 01/02  17:00:00,37886258.03,0,4383527.072,0,2055600,0
 01/02  18:00:00,38048708.81,0,13066015.06,0,2055600,0
 01/02  19:00:00,32137784.83,0,13143316.33,0,2055600,0
 01/02  20:00:00,14020014.06,0,900000,0,2055600,0
