Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,320252075.5,178947329.4,107311591.9,11817217.56,0,5356800
 01/01  02:00:00,329049237,237201951,116538054.9,0,0,5356800
 01/01  03:00:00,331107579.2,232686377.8,119782778.7,0,0,5356800
 01/01  04:00:00,333431956.4,230168547.7,122666783,0,0,5356800
 01/01  05:00:00,335154515.8,228350004.6,125019840.9,0,0,5356800
 01/01  06:00:00,336190984.1,226088239.9,126527613.4,0,0,5356800
 01/01  07:00:00,346760571.4,226745366.6,128527916.6,0,0,5356800
 01/01  08:00:00,321779656.2,223051130.7,125216415.5,0,0,5356800
 01/01  09:00:00,390647597.8,199151338.1,93274371.72,0,0,5356800
 01/01  10:00:00,371246101.9,172030608.9,74814530.26,0,0,5356800
 01/01  11:00:00,356064241.6,146076991.2,63652743.59,0,0,5356800
 01/01  12:00:00,345745488.7,126544251.7,59667029.74,0,0,5356800
 01/01  13:00:00,341821017.8,113392202.4,60752357.87,0,0,5356800
 01/01  14:00:00,339741085.2,102294959.8,62207488.79,0,0,5356800
 01/01  15:00:00,337548853.1,96544056.78,62692902.42,0,0,5356800
 01/01  16:00:00,338224410.1,97671136.36,66585640.34,0,0,5356800
 01/01  17:00:00,299886134.3,99702891.01,70599820.15,0,0,5356800
 01/01  18:00:00,272465011.8,112091574.7,84408353.65,0,0,5356800
 01/01  19:00:00,278419211.2,121975929.8,90020685.59,0,0,5356800
 01/01  20:00:00,280202900.8,120365314.8,93397518.08,0,0,5356800
 01/01  21:00:00,301416607.4,118094723.1,93429736.45,23544070.8,0,5356800
 01/01  22:00:00,278619498.8,118729886.8,95378733.56,0,0,5356800
 01/01  23:00:00,305096853,119755775.4,98187257.61,23514747.46,0,5356800
 01/01  24:00:00,286857480.3,123748785.2,100394293.4,0,0,5356800
 01/02  01:00:00,309496986.2,134385046.2,99962906.24,23531007.81,0,5356800
 01/02  02:00:00,288212150.4,140939350.5,102133983.6,0,0,5356800
 01/02  03:00:00,313992802.3,138181014.6,103181175.3,23540996.72,0,5356800
