Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,26426562.49,202099702.4,0,0,0,2592000
 01/01  02:00:00,15555761.41,0,0,0,0,2592000
 01/01  03:00:00,17272526.58,0,0,0,0,2592000
 01/01  04:00:00,18187510.32,64076752.44,0,0,0,2592000
 01/01  05:00:00,23414362.21,51345505.32,0,0,0,2592000
 01/01  06:00:00,40780915.83,288392647.9,0,0,0,2592000
 01/01  07:00:00,44761842.73,236389324.2,0,0,0,2592000
 01/01  08:00:00,44695751.6,252243256.4,0,0,0,6922149.787
 01/01  09:00:00,48887549.13,237681375.9,0,0,0,15682133.37
 01/01  10:00:00,53310229.64,194275000.8,0,0,0,15688710.1
 01/01  11:00:00,62323573.87,174131164.9,0,0,0,11020414.69
 01/01  12:00:00,71669525.63,163557308.8,0,0,0,62687477.05
 01/01  13:00:00,64889740.77,162572930.5,0,0,0,57084021.19
 01/01  14:00:00,60759231.07,152126645.5,0,0,0,86462445.27
 01/01  15:00:00,57393807.32,138651767,0,0,0,89110774.21
 01/01  16:00:00,57700038.72,134359038.6,0,0,0,28887464.5
 01/01  17:00:00,65247294.2,140579353,0,0,0,26227336.36
 01/01  18:00:00,66744259.78,149246442.4,0,0,0,21206136.45
 01/01  19:00:00,63597308.75,158237045.1,0,0,0,15893253.97
 01/01  20:00:00,61032818.72,159249787.1,0,0,0,11084325.83
 01/01  21:00:00,57813234.87,164324124.7,0,0,0,36701741.48
 01/01  22:00:00,54110462.25,150890944.6,0,0,0,38624903.11
 01/01  23:00:00,38077581.48,143551049.8,0,0,0,41606210.15
 01/01  24:00:00,31532712.44,153058897.7,0,0,0,2592000
 01/02  01:00:00,26439696.89,164547628,0,0,0,2592000
 01/02  02:00:00,15575426.37,0,0,0,0,2592000
 01/02  03:00:00,17300891.67,0,0,0,0,2592000
 01/02  04:00:00,18111635.89,48099668.04,0,0,0,2592000
 01/02  05:00:00,23335123.36,36214631.7,0,0,0,2592000
 01/02  06:00:00,40494658.53,210131334.1,0,0,0,2592000
 01/02  07:00:00,44758039.31,147143148.6,0,0,0,11299492.95
 01/02  08:00:00,44657289.58,146538605,0,0,0,12867629.26
 01/02  09:00:00,49220942.73,141198831,0,0,0,30870348.15
 01/02  10:00:00,53394972.27,133516431.7,0,0,0,15704733.04
 01/02  11:00:00,62990306.77,113959629.3,0,0,0,11012604.97
 01/02  12:00:00,72462508.17,120227332.4,0,0,0,62893795.43
 01/02  13:00:00,65822564.4,130137195.3,0,0,0,33704382.68
 01/02  14:00:00,61830643.08,137571569.4,0,0,0,82480012.3
 01/02  15:00:00,58697725.54,136904086.3,0,0,0,90448638.4
 01/02  16:00:00,59476661.2,123710297.3,0,0,0,27965045.86
 01/02  17:00:00,67562496.06,124827252,0,0,0,27395908.82
 01/02  18:00:00,69115959.73,139420048.6,0,0,0,23658191.47
 01/02  19:00:00,66048440.81,149552336.5,0,0,0,18089035.13
 01/02  20:00:00,63354193,140932744.7,0,0,0,10995287.89
 01/02  21:00:00,60028290.78,135158914.1,0,0,0,34381307.25
 01/02  22:00:00,56268312.93,119508843.7,0,0,0,41217741.6
 01/02  23:00:00,37917747.47,124325070.4,0,0,0,41655697.15
 01/02  24:00:00,31399113.15,135060573,0,0,0,15950071.03
 01/03  01:00:00,26289098.98,141597770.4,0,0,0,2592000
 01/03  02:00:00,15607159.85,0,0,0,0,2592000
 01/03  03:00:00,17333140.43,0,0,0,0,2592000
 01/03  04:00:00,18076588.22,42122469.52,0,0,0,2592000
 01/03  05:00:00,28146226.4,100614205.5,0,0,0,2592000
 01/03  06:00:00,43118789.89,217018670.6,0,0,0,2592000
 01/03  07:00:00,46010480.47,164936385.6,0,0,0,6926972.533
 01/03  08:00:00,44848470.31,173036756.3,0,0,0,15670441.9
 01/03  09:00:00,49150846.15,177468507,0,0,0,30299062.43
 01/03  10:00:00,53783778.2,180162181.3,0,0,0,13361222.13
 01/03  11:00:00,63456655.93,162447697.5,0,0,0,11069157.3
 01/03  12:00:00,73003076.51,173796923.6,0,0,0,62112381.89
 01/03  13:00:00,66373157.14,183266477.8,0,0,0,33907184.51
 01/03  14:00:00,62252335.9,175941049.9,0,0,0,88064791.93
 01/03  15:00:00,58872597.06,160902741.2,0,0,0,84512750.62
 01/03  16:00:00,59218038.49,149861310.3,0,0,0,28874265.6
 01/03  17:00:00,67744274.99,156948231.1,0,0,0,32183035.68
 01/03  18:00:00,69385951.58,167113694.4,0,0,0,21256627.83
 01/03  19:00:00,66338998.16,182862374.5,0,0,0,15898326.91
 01/03  20:00:00,63119203.36,183246370.5,0,0,0,11086726.51
 01/03  21:00:00,59895733.64,183838390.4,0,0,0,36437366.23
 01/03  22:00:00,56282371.45,169359064,0,0,0,38970554.35
 01/03  23:00:00,38286226.92,160679801.9,0,0,0,41654417.37
 01/03  24:00:00,31646437.21,162037420.8,0,0,0,20673379.34
