Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,47862856.12,293325207.5,0,0,6842949.135,0,29355594.57
 01/01  02:00:00,23076120.58,0,0,0,186815.1444,0,2577600
 01/01  03:00:00,26106994.49,0,0,0,186761.0031,0,2577600
 01/01  04:00:00,23468292.67,0,0,0,373552.7916,0,2577600
 01/01  05:00:00,37583200.87,203554983.3,0,0,186759.8871,0,2577600
 01/01  06:00:00,66075931.22,456869771,0,0,186757.4613,0,2577600
 01/01  07:00:00,78127740.55,388817410.1,0,0,4299602.897,0,19480613.08
 01/01  08:00:00,76590508.56,361918829.6,0,0,4184602.276,0,19463487.06
 01/01  09:00:00,83464453.51,340360223.8,0,0,4351691.313,0,19484229.49
 01/01  10:00:00,91723392.63,312184974.7,0,0,4133674.635,0,27947865.14
 01/01  11:00:00,117935758.2,280398541.7,0,0,13783369.45,0,64636888.81
 01/01  12:00:00,129472624.2,252028557.4,0,0,13772788.23,0,65268477.85
 01/01  13:00:00,117481936.4,229130585.5,0,0,10835244.44,0,55729396.59
 01/01  14:00:00,111739847.8,213670978.2,0,0,11059764.59,0,57402799.61
 01/01  15:00:00,103215822.9,213745743.9,0,0,8333695.139,0,39653450.16
 01/01  16:00:00,105205218.5,217446571.3,0,0,8334027.504,0,42428619.28
 01/01  17:00:00,119939206.4,218109006.2,0,0,8333898.04,0,45487278.98
 01/01  18:00:00,125439865.1,220824409.1,0,0,10856316.12,0,51296703.76
 01/01  19:00:00,122506118.4,219845428.5,0,0,13710889.5,0,64828891.85
 01/01  20:00:00,117375094.8,211436528.1,0,0,13782720.99,0,71737919.47
 01/01  21:00:00,108616779.5,211200488.5,0,0,10922518.84,0,55551441.06
 01/01  22:00:00,105321409.2,223250199.2,0,0,13634972.97,0,64832469.41
 01/01  23:00:00,74507235.13,232618242.4,0,0,11096392.07,0,61800210.49
 01/01  24:00:00,51273052.7,241445931.6,0,0,5525424.519,0,28765240.53
 01/02  01:00:00,45427362.99,228885979.5,0,0,5754607.208,0,28626784.09
 01/02  02:00:00,23085118.85,0,0,0,186789.0618,0,2577600
 01/02  03:00:00,26135050.61,0,0,0,186754.7872,0,2577600
 01/02  04:00:00,23328007.14,0,0,0,186739.6997,0,2577600
 01/02  05:00:00,37266241.97,145453014.6,0,0,186749.6283,0,2577600
 01/02  06:00:00,65617160.75,327329851.2,0,0,186777.2894,0,2577600
 01/02  07:00:00,78647421.45,245411641,0,0,4351060.491,0,19466423.97
 01/02  08:00:00,89807577.64,218147260.5,0,0,16355226.58,0,70375090.27
 01/02  09:00:00,96737489.85,208922699.5,0,0,15137705.4,0,76659520.35
 01/02  10:00:00,100237108.1,197201891.7,0,0,12329287.1,0,63835050.65
 01/02  11:00:00,116534234.2,186182130.7,0,0,10900725.62,0,59225807.17
 01/02  12:00:00,129581367.5,166599847.6,0,0,12359733.62,0,55373926.25
 01/02  13:00:00,119271189.3,154089025.3,0,0,10957460.95,0,61558643.46
 01/02  14:00:00,112352376,172627462.4,0,0,9755959.207,0,50136704.36
 01/02  15:00:00,105757072,199567378.2,0,0,8333764.069,0,39429960.66
 01/02  16:00:00,109122404.8,199544386.4,0,0,8231366.052,0,39375973.77
 01/02  17:00:00,124981621.4,193165937.1,0,0,8226316.745,0,47113258.45
 01/02  18:00:00,130736588.6,193404577.4,0,0,11034901.99,0,52921115.08
 01/02  19:00:00,128981333.6,180115469.8,0,0,15134292.06,0,69291741.95
 01/02  20:00:00,124909085.2,167763593.3,0,0,16350673.61,0,82529878.6
 01/02  21:00:00,116324716.3,159688892.1,0,0,13690444.55,0,72304646.15
 01/02  22:00:00,111460842.4,163694195.8,0,0,14950830.47,0,74367757.22
 01/02  23:00:00,75339658.06,189595026,0,0,12366472.27,0,62209370.59
 01/02  24:00:00,52446219.07,215152094.4,0,0,6993620.418,0,34276218.23
 01/03  01:00:00,44882286.08,189353793.2,0,0,5525054.068,0,28821966.92
 01/03  02:00:00,23299877.04,0,0,0,373615.4318,0,2577600
 01/03  03:00:00,26159985.75,0,0,0,186753.9023,0,2577600
 01/03  04:00:00,23332030.81,0,0,0,186746.7574,0,2577600
 01/03  05:00:00,42658404.07,215110700.7,0,0,186717.1201,0,2577600
 01/03  06:00:00,68309986.55,341894038,0,0,186738.3262,0,2577600
 01/03  07:00:00,79983776.67,273528586.2,0,0,4351131.863,0,19499556.38
 01/03  08:00:00,90058384.56,257079218.9,0,0,16355146.56,0,79085395
 01/03  09:00:00,95758225.57,262834814.2,0,0,15078977.98,0,76543434.75
 01/03  10:00:00,100727636.9,266565322.8,0,0,12364084.75,0,62195030.96
 01/03  11:00:00,117181384.7,261361298,0,0,10836285.73,0,55046301.92
 01/03  12:00:00,130342609.7,244575670.6,0,0,12361222.83,0,63028866.02
 01/03  13:00:00,120062717.3,227781581.5,0,0,11031096.69,0,51653665.36
 01/03  14:00:00,112914666.6,226718527.8,0,0,9755738.274,0,50177270.89
 01/03  15:00:00,105712870.9,235319876.2,0,0,8240702.3,0,42385010.77
 01/03  16:00:00,107970884.5,240182053.5,0,0,8229342.308,0,45725808.67
 01/03  17:00:00,125327251.8,241457413.3,0,0,8269403.345,0,39382386.47
 01/03  18:00:00,131195435.6,233293367.8,0,0,11093663.26,0,51290083.26
 01/03  19:00:00,129334931.4,225723398,0,0,15092518.67,0,77666692.66
 01/03  20:00:00,124839500.8,225908195.2,0,0,16397588.49,0,80901631.12
 01/03  21:00:00,116249054.7,226657265.3,0,0,13608782.59,0,65784693.31
 01/03  22:00:00,111666502.1,236101155.6,0,0,14951597.3,0,78108934.83
 01/03  23:00:00,75907526.01,244656042.2,0,0,12365821.48,0,63696327.27
 01/03  24:00:00,52898396.45,256230945.8,0,0,7052210.373,0,38681349.68
 01/04  01:00:00,45223262.59,226354801.9,0,0,5524900.832,0,28675287.89
 01/04  02:00:00,23264270.53,0,0,0,373572.5241,0,2577600
 01/04  03:00:00,26118819.81,0,0,0,186783.0066,0,2577600
 01/04  04:00:00,23293580.27,0,0,0,186775.653,0,2577600
 01/04  05:00:00,37278296.08,155123220.2,0,0,186709.3791,0,2577600
 01/04  06:00:00,65871848.69,356848100.4,0,0,186757.1304,0,2577600
