Date/Time,Cooling:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,0,24092441.89,0,0,0,6696000
 01/01  02:00:00,0,25227781.92,0,0,0,6696000
 01/01  03:00:00,0,25743845.57,0,0,0,8239460.785
 01/01  04:00:00,0,25330994.65,0,0,0,6696000
 01/01  05:00:00,0,26156696.49,0,0,0,8239691.914
 01/01  06:00:00,51272.59856,26838093.33,987433.4567,0,0,6696000
 01/01  07:00:00,47120.28973,34166264.03,1115661.844,0,0,8239831.969
 01/01  08:00:00,0,26134829.28,165950578.5,0,0,6696000
 01/01  09:00:00,713614.4358,44480368.54,171492704.7,0,0,8237002.669
 01/01  10:00:00,415702.7822,63313212.76,275652177,0,0,9934896.79
 01/01  11:00:00,0,108860702.2,168731098.8,0,0,11834267.75
 01/01  12:00:00,0,103570980.7,132858384.8,0,0,13600241.33
 01/01  13:00:00,0,132703222.6,180012736.5,0,0,13737205.5
 01/01  14:00:00,0,135354044.2,165037653.4,0,0,13737091.12
 01/01  15:00:00,0,138907962.6,156024226.2,0,0,12989082.68
 01/01  16:00:00,0,138893692.9,158128066.6,0,0,12650562.49
 01/01  17:00:00,0,150286415.3,160361053.9,0,0,14322591.9
 01/01  18:00:00,0,124923886.8,201743260.9,0,0,13130415.66
 01/01  19:00:00,0,93973717.1,157866102.9,0,0,11757137.22
 01/01  20:00:00,0,36778809.42,1327934.415,0,0,8237710.575
 01/01  21:00:00,0,29347492.84,0,0,0,6696000
 01/01  22:00:00,0,29347492.84,0,0,0,8238378.984
 01/01  23:00:00,0,29347492.84,0,0,0,6696000
 01/01  24:00:00,0,29347492.84,0,0,0,8239034.999
 01/02  01:00:00,0,25392647.34,0,0,0,6696000
 01/02  02:00:00,0,26218349.18,0,0,0,8239001.326
 01/02  03:00:00,0,26631200.11,0,0,0,6696000
 01/02  04:00:00,0,26218349.18,0,0,0,8239114.99
 01/02  05:00:00,0,26631200.11,0,0,0,6696000
 01/02  06:00:00,0,34429279.33,123132716.3,0,0,8236988.455
 01/02  07:00:00,0,58227065.53,131388250.9,0,0,6696000
 01/02  08:00:00,432013.6254,76126417.37,229643977.8,0,0,9947362.72
 01/02  09:00:00,0,109018018.1,170214610.4,0,0,11719289.88
 01/02  10:00:00,0,177927837.8,75888664,0,0,13232572.97
 01/02  11:00:00,0,172768657.9,49081947,0,0,14290134.37
 01/02  12:00:00,128696.5702,163798877.7,33348496.41,0,0,17485084.72
 01/02  13:00:00,0,163513385.6,89523758.24,0,0,17666686.08
