Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,24578320.12,0,0,0,4359600,0
 01/01  02:00:00,24578320.12,0,0,0,4359600,0
 01/01  03:00:00,24578320.12,0,0,0,4359600,0
 01/01  04:00:00,24578320.12,0,0,0,4359600,0
 01/01  05:00:00,24578320.12,0,0,0,4359600,0
 01/01  06:00:00,24578320.12,0,0,0,4359600,0
 01/01  07:00:00,36314105.97,0,0,0,9369066.651,0
 01/01  08:00:00,21988312.33,0,0,0,8116385.011,0
 01/01  09:00:00,28386018,134036785.3,0,913109.5727,4359600,0
 01/01  10:00:00,79206126.96,358185035.3,0,816960.5069,4359600,0
 01/01  11:00:00,146207456.5,363657750.6,0,0,6888383.22,0
 01/01  12:00:00,180207499.2,273795377.5,0,0,10680954.89,0
 01/01  13:00:00,176377018.1,418127117.5,0,0,6894521.772,0
 01/01  14:00:00,180133429.8,388567694.2,0,0,10699413.89,0
 01/01  15:00:00,176284371.5,378836319,0,0,6892305.085,0
 01/01  16:00:00,180086692.2,383484339.4,0,0,10694877.13,0
 01/01  17:00:00,191611977.6,392663886,0,0,8986815.494,0
 01/01  18:00:00,151276507.1,424416358,0,0,8605426.478,0
 01/01  19:00:00,73637374.09,40783615.2,0,0,6884647.492,0
 01/01  20:00:00,71078260.31,41661098.22,0,0,4359600,0
 01/01  21:00:00,73537745.95,36938724.51,0,0,6881229.968,0
 01/01  22:00:00,73521057.99,37649762.08,0,0,6863679.615,0
 01/01  23:00:00,74790153.66,39131091.01,0,0,8116072.228,0
 01/01  24:00:00,52956468.66,46600153.15,0,0,4359600,0
 01/02  01:00:00,29596601.42,5026937.461,0,239599.1391,6863108.916,0
 01/02  02:00:00,25112669.21,0,0,0,4359600,0
 01/02  03:00:00,24578320.12,0,0,0,4359600,0
 01/02  04:00:00,24578320.12,0,0,0,4359600,0
 01/02  05:00:00,27082486.38,0,0,0,6863766.256,0
 01/02  06:00:00,28335161.02,0,0,0,8116440.898,0
 01/02  07:00:00,31304639.32,0,0,0,4359600,0
 01/02  08:00:00,34373179.7,47701533.91,0,672570.9253,6867375.75,0
 01/02  09:00:00,59703846.59,293431946,0,595998.6474,4359600,0
 01/02  10:00:00,128377810.7,320818823.6,0,0,6882950.19,0
 01/02  11:00:00,177160058.8,249177556.8,0,0,8147556.118,0
 01/02  12:00:00,178859948.4,218356955.8,0,0,9430113.782,0
 01/02  13:00:00,181651796.2,336794692.7,0,0,12012898.09,0
 01/02  14:00:00,179436769,350372755,0,0,9475886.744,0
 01/02  15:00:00,183391359,361719856.4,0,0,13308622.5,0
 01/02  16:00:00,179567697.3,369489237.3,0,0,9457887.521,0
 01/02  17:00:00,196366277.7,351158778.9,0,0,13259896.57,0
 01/02  18:00:00,197892053.7,374021721.7,0,0,8175225.581,0
 01/02  19:00:00,198633783.6,208278105.7,0,0,9447749.283,0
 01/02  20:00:00,199660210.3,208116088.2,0,0,10714000.8,0
 01/02  21:00:00,149072910.9,196071421.5,0,0,6892862.142,0
 01/02  22:00:00,77188631.51,29953538.46,0,0,10647450.25,0
 01/02  23:00:00,70915224.47,31267819.78,0,0,4359600,0
 01/02  24:00:00,52868350.08,40798306,0,0,4359600,0
 01/03  01:00:00,28288841.93,3460400.767,0,0,6863646.753,0
 01/03  02:00:00,25830065.63,0,0,0,5611345.514,0
 01/03  03:00:00,25830317.78,0,0,0,5611597.658,0
 01/03  04:00:00,24578320.12,0,0,0,4359600,0
 01/03  05:00:00,28334875.66,0,0,0,8116155.544,0
 01/03  06:00:00,24578320.12,0,0,0,4359600,0
 01/03  07:00:00,31304639.32,0,0,0,4359600,0
 01/03  08:00:00,33147160.51,41245610.98,0,702475.4088,5611452.078,0
 01/03  09:00:00,63415980.2,278003689.1,0,432971.9475,8124453.628,0
 01/03  10:00:00,126000199.7,381461400.5,0,0,4359600,0
 01/03  11:00:00,180664957.5,326152402,0,0,10679095.07,0
 01/03  12:00:00,176004208.1,280072659.6,0,0,6890904.972,0
 01/03  13:00:00,180319578.7,437500671,0,0,10743386.22,0
 01/03  14:00:00,182863582.9,413323459.5,0,0,13312366.3,0
 01/03  15:00:00,182852155.2,415044706.9,0,0,13308185.36,0
 01/03  16:00:00,180271129.7,413088011.5,0,0,10731792.48,0
 01/03  17:00:00,189546914.4,423185178.7,0,0,6902335.131,0
 01/03  18:00:00,202430350.4,417042896.5,0,0,13266136.31,0
 01/03  19:00:00,199363113.8,245937253,0,0,10720564.07,0
 01/03  20:00:00,195491003.9,253429946.5,0,0,6899590.762,0
 01/03  21:00:00,153978231,254269582.7,0,0,11809758.5,0
 01/03  22:00:00,72485173.21,42158445.15,0,0,5759017.559,0
 01/03  23:00:00,73611137.75,42500561.08,0,0,6883051.309,0
 01/03  24:00:00,53004356.13,49936924.81,0,0,4359600,0
 01/04  01:00:00,28048344.01,12499247.99,0,255214.5286,4359600,0
 01/04  02:00:00,25404718.14,0,0,22081.32018,4359600,0
 01/04  03:00:00,25830450.34,0,0,0,5611730.216,0
 01/04  04:00:00,29586996.71,0,0,0,9368276.592,0
 01/04  05:00:00,27082679.9,0,0,0,6863959.783,0
