Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,158476605,0,0,0,187161.3739,2822400
 01/01  02:00:00,158521953.5,0,0,0,187150.0145,2822400
 01/01  03:00:00,158566948.7,0,0,0,187172.9726,2822400
 01/01  04:00:00,158615885.1,0,0,0,187159.2562,2822400
 01/01  05:00:00,159765436.1,0,0,0,187165.4488,2822400
 01/01  06:00:00,159776665.3,0,0,0,187146.1589,2822400
 01/01  07:00:00,163853281.1,0,0,0,187101.4304,2822400
 01/01  08:00:00,152089846.7,0,0,0,187150.5823,2822400
 01/01  09:00:00,140076180.2,199675021,0,0,187132.34,2822400
 01/01  10:00:00,141245790.2,317061481,0,0,374300.6603,2822400
 01/01  11:00:00,138878997.9,235812682.9,0,0,187165.1642,2822400
 01/01  12:00:00,141332614.7,281182431.5,0,0,187174.385,2822400
 01/01  13:00:00,137605999.6,215583130.1,0,0,187166.2828,2822400
 01/01  14:00:00,139324753.2,260677594.3,0,0,187159.919,2822400
 01/01  15:00:00,141331102,204412804.8,0,0,187150.9925,2822400
 01/01  16:00:00,150053243,256650850,0,0,187152.9179,2822400
 01/01  17:00:00,162394542.3,154972519.3,0,0,187165.952,2822400
 01/01  18:00:00,164300660.5,51414151.35,0,0,187154.9648,2822400
 01/01  19:00:00,163024400.1,0,0,0,187099.6963,2822400
 01/01  20:00:00,168871963.2,209567980.8,0,0,374271.7008,2822400
 01/01  21:00:00,168965626.8,207297213.1,0,0,187139.4875,2822400
 01/01  22:00:00,168287316.6,207328841.9,0,0,187130.2601,2822400
 01/01  23:00:00,162536352.3,0,0,0,187159.4182,2822400
 01/01  24:00:00,168768366.6,127582616.9,0,0,187120.5373,2822400
 01/02  01:00:00,158366327.5,0,0,0,187168.4954,2822400
 01/02  02:00:00,158388473,0,0,0,187155.532,2822400
 01/02  03:00:00,158452348.1,0,0,0,187176.3901,2822400
 01/02  04:00:00,158517262.3,0,0,0,187160.976,2822400
 01/02  05:00:00,161972548.2,104126340,0,0,187144.6453,2822400
 01/02  06:00:00,160915044.8,51325113.37,0,0,374294.8799,2822400
 01/02  07:00:00,196685313.3,259424764.8,0,0,187263.8535,2822400
 01/02  08:00:00,401255474,212786768.4,0,0,187257.6996,2822400
