Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,413979852.2,41240014.24,0,0,186467.365,3164400
 01/01  02:00:00,443619645.5,71581338.41,0,0,372985.5115,3164400
 01/01  03:00:00,426034039,81020308.04,0,0,186492.0701,3164400
 01/01  04:00:00,444285289.6,107699469.3,0,0,372983.2714,3164400
 01/01  05:00:00,429093462.9,97448520.42,0,0,372975.9566,3164400
 01/01  06:00:00,446214567.8,124333164.7,0,0,186481.1192,3164400
 01/01  07:00:00,439605294.5,159624804.9,0,0,372963.1161,3164400
 01/01  08:00:00,430422241.1,145031246.7,0,0,186500.4444,3164400
 01/01  09:00:00,375841671.9,66801233.52,0,0,372980.9354,3164400
 01/01  10:00:00,387755323.3,67090331.35,0,0,372974.5036,3164400
 01/01  11:00:00,367887724,48631221.47,0,0,186444.9208,3164400
 01/01  12:00:00,394183390.6,28131014.06,0,1688529.393,372949.7541,3164400
 01/01  13:00:00,362130649.3,19917877.32,0,844264.6964,372964.155,3164400
 01/01  14:00:00,371910214.3,9332729.178,0,0,186489.9751,3164400
 01/01  15:00:00,348897716.3,5657864.017,0,0,372971.0457,3164400
 01/01  16:00:00,376444706.3,5709706.175,0,0,186455.4651,3164400
 01/01  17:00:00,404293768.8,4788374.194,0,0,372967.152,3164400
 01/01  18:00:00,433672721.5,9983917.867,0,0,372958.0604,3164400
 01/01  19:00:00,441548665.2,13638491.87,0,0,186475.3985,3164400
 01/01  20:00:00,448932666.7,24920060.28,0,2532794.089,372941.9575,3164400
 01/01  21:00:00,448218087.7,14784563.02,0,0,186474.9213,3164400
 01/01  22:00:00,429384387.9,16937941.15,0,844264.6964,372938.9576,3164400
 01/01  23:00:00,454418504,27499460.48,0,0,372937.9901,3164400
 01/01  24:00:00,446834362.9,36402244.58,0,844264.6964,186491.501,3164400
 01/02  01:00:00,441689163.5,40633972.22,0,0,372952.2692,3164400
 01/02  02:00:00,430820190.9,46505764.77,0,844264.6964,186476.124,3164400
 01/02  03:00:00,442876910.9,40248150.61,0,0,372974.8854,3164400
 01/02  04:00:00,427909986.2,47552778.16,0,0,372987.6076,3164400
 01/02  05:00:00,458419379.8,45122606.81,0,3377058.786,186458.9761,3164400
 01/02  06:00:00,430034055.1,53657971.1,0,0,372945.2326,3164400
 01/02  07:00:00,475567819,916320719.9,0,844264.6964,372979.1932,3164400
 01/02  08:00:00,1032651810,1979543873,0,0,186543.6429,3164400
 01/02  09:00:00,1467719061,1426971289,0,63864.38169,50385489.1,119232663.6
 01/02  10:00:00,1384360883,1255572866,0,92298.40822,50400000,259300742
 01/02  11:00:00,1396518923,1049641872,0,0,50400000,288013329.7
 01/02  12:00:00,1368308042,554119413.2,0,0,50400000,331550127.6
 01/02  13:00:00,1359341171,540682568.3,0,0,50400000,379138984.8
 01/02  14:00:00,1342524432,359460958.2,0,0,50400000,363755465.3
 01/02  15:00:00,1392468883,694690788.6,0,0,50400000,300902125.9
 01/02  16:00:00,1431780753,468624682.8,0,284950.4836,50400000,303014723.4
 01/02  17:00:00,1458086473,606131643.9,0,128965.182,50400000,81252540.36
 01/02  18:00:00,1167351030,564386034,0,224032.1387,50400000,29166020.77
 01/02  19:00:00,1167389302,797868845.2,0,0,50400000,94746022.93
 01/02  20:00:00,1168848954,764157878.1,0,0,50400000,125436957.3
 01/02  21:00:00,1119810447,868020119.3,0,310798.229,1435359.206,3164400
 01/02  22:00:00,368769718.1,0,0,0,373016.7073,3164400
 01/02  23:00:00,367559750.5,0,0,0,281857.365,3164400
 01/02  24:00:00,373450308.1,0,0,0,277538.2483,3164400
 01/03  01:00:00,357573514.2,0,0,0,372970.8801,3164400
 01/03  02:00:00,357454195.2,0,0,0,186458.5248,3164400
 01/03  03:00:00,357745606.5,0,0,0,372961.3769,3164400
 01/03  04:00:00,357822820.1,0,0,0,372916.8215,3164400
 01/03  05:00:00,372279007.2,227405.3661,0,0,186463.1652,3164400
 01/03  06:00:00,369190126.3,0,0,0,372949.4847,3164400
 01/03  07:00:00,462642568.4,64266843.12,0,0,186504.2358,3164400
 01/03  08:00:00,1013356267,662246129.9,0,0,373029.724,3164400
 01/03  09:00:00,1419244446,1228329239,0,104669.7338,50376417.65,148599314.3
