Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,37402998.9,223996311.9,0,36410.87825,1731600,0
 01/01  02:00:00,37417664.83,274447881.6,0,20079.81489,1731600,0
 01/01  03:00:00,36669026.83,217903682.5,0,20424.05759,2361252.638,0
 01/01  04:00:00,37104715.33,261869553.8,0,41077.08663,1731600,0
 01/01  05:00:00,37388181.12,257609236.7,0,21011.38984,1731600,0
 01/01  06:00:00,36669126.32,226693044.7,0,21053.88546,2361284.364,0
 01/01  07:00:00,44073686.39,284209436.1,0,42604.00422,1731600,0
 01/01  08:00:00,27584496.64,282166360,0,21333.78727,1731600,0
 01/01  09:00:00,20545890.27,200223831.4,0,10719.7707,2361225.804,0
 01/01  10:00:00,20340521.92,214191284.1,0,33087.76947,1731600,0
 01/01  11:00:00,19345987.73,135072013.3,0,21893.23508,1731600,0
 01/01  12:00:00,17340602.04,88732827.32,0,20072.48753,2361309.161,0
 01/01  13:00:00,17453964.89,114310275.6,0,42447.52486,1731600,0
 01/01  14:00:00,17410807.11,82207878.17,0,26523.68481,1731600,0
 01/01  15:00:00,18561362.03,50942264.8,0,22319.70043,2361207.236,0
 01/01  16:00:00,20335177.13,78207502.79,0,45491.96874,1731600,0
 01/01  17:00:00,37489630.45,54485507.59,0,15393.99531,1731600,0
 01/01  18:00:00,42456570.53,40136702.45,0,17391.89178,2361317.803,0
 01/01  19:00:00,43094560.55,82145089.45,0,44188.69734,1731600,0
 01/01  20:00:00,44087591.04,116199758.9,0,21109.61646,1731600,0
 01/01  21:00:00,43208812.4,49047101.68,0,20443.01738,2361393.711,0
 01/01  22:00:00,43474728.85,99370873.62,0,47434.76394,1731600,0
 01/01  23:00:00,44089047.91,141639628.9,0,20795.25767,1731600,0
 01/01  24:00:00,43501740.22,124016215,0,20636.20008,2361226.22,0
 01/02  01:00:00,44408412.04,163117051.6,0,40722.26821,1731600,0
 01/02  02:00:00,44606708.65,183959734.5,0,19907.94137,1731600,0
 01/02  03:00:00,43356867.46,149884163.4,0,19870.34517,1731600,0
 01/02  04:00:00,45059472.07,171509198.6,0,40186.86091,2358629.656,0
 01/02  05:00:00,44595816.67,168083979.5,0,20062.32338,1731600,0
 01/02  06:00:00,43335093.57,125044149.3,0,20192.02325,1731600,0
 01/02  07:00:00,52287824.41,178056543.2,0,0,2367425.565,0
 01/02  08:00:00,100872626.3,163940869.7,0,0,2376421.259,0
 01/02  09:00:00,138233951,165495879.5,0,0,4046876.702,0
 01/02  10:00:00,132273308.6,131460799.3,0,0,5165973.245,0
 01/02  11:00:00,125978004.8,119167120.7,0,0,4645311.521,0
 01/02  12:00:00,120958235.5,107385444.1,0,0,6398335.052,0
 01/02  13:00:00,97695011.31,115656691.5,0,0,7590876.586,0
 01/02  14:00:00,125141087.2,103923396.6,0,0,6569782.883,0
 01/02  15:00:00,136793913.4,114387169.6,0,0,6138861.469,0
 01/02  16:00:00,153714986.9,117335773.2,0,0,6838675.989,0
 01/02  17:00:00,159242610.8,166341225.7,0,0,3781192.759,0
 01/02  18:00:00,118073906.4,193959418.1,0,0,1731600,0
 01/02  19:00:00,48819963.46,69847402.35,0,6862.608711,1731600,0
 01/02  20:00:00,50223187.44,74028378.31,0,40290.39948,2358676.367,0
 01/02  21:00:00,49033878.8,52216543.66,0,54987.30865,1731600,0
 01/02  22:00:00,50017655.79,67318328.35,0,48575.95708,1731600,0
 01/02  23:00:00,49888609.12,67837769.29,0,15677.62917,1731600,0
 01/02  24:00:00,49729571.11,61860648.41,0,31348.66155,1731600,0
 01/03  01:00:00,43924011.81,81421121.91,0,15965.15651,2358608.046,0
 01/03  02:00:00,43485139.73,112478303.3,0,16505.96249,1731600,0
 01/03  03:00:00,43900369.65,134163317.5,0,34257.56585,1731600,0
 01/03  04:00:00,44472242.8,175886282.2,0,16949.28304,1731600,0
 01/03  05:00:00,44201384.82,179111076.2,0,16966.16466,1731600,0
 01/03  06:00:00,44570871.71,177296585,0,35102.70883,2358672.802,0
 01/03  07:00:00,51774070.97,260723830.6,0,0,1731600,0
 01/03  08:00:00,101657684.8,236498546.3,0,0,2376343.556,0
 01/03  09:00:00,131526645.9,243506421.3,0,0,4552894.025,0
 01/03  10:00:00,122737521.7,190775833.4,0,0,4646399.852,0
 01/03  11:00:00,114338091.4,155862401.1,0,0,5374492.396,0
 01/03  12:00:00,114251592.9,143330932.8,0,0,5907262.552,0
 01/03  13:00:00,92600756.19,158436504.4,0,0,7286711.884,0
 01/03  14:00:00,118998939.5,136373733.4,0,0,6910953.484,0
 01/03  15:00:00,130590908.3,132535434,0,0,6072988.955,0
 01/03  16:00:00,149856465.3,129222945,0,0,6571688.172,0
 01/03  17:00:00,159203897.8,156907395.1,0,0,3781479.58,0
 01/03  18:00:00,118630355.9,195429152.9,0,0,2367122.204,0
 01/03  19:00:00,49057823.92,76285334.96,0,6535.557143,1731600,0
 01/03  20:00:00,51506175.55,96474275.08,0,0,1731600,0
 01/03  21:00:00,51358015.26,73801544.99,0,0,2358679.454,0
 01/03  22:00:00,50774870.75,138147794.5,0,0,1731600,0
 01/03  23:00:00,51601240.1,184030156.2,0,26042.30039,1731600,0
 01/03  24:00:00,50847908.56,155159358.4,0,27008.51203,1731600,0
 01/04  01:00:00,43938637.09,186312377.7,0,27422.46773,1731600,0
 01/04  02:00:00,45369348.22,211075418.4,0,57477.29507,2358655.569,0
 01/04  03:00:00,43947418.33,192468370.6,0,30245.47381,1731600,0
 01/04  04:00:00,43996273.54,234950663.1,0,30862.05379,1731600,0
 01/04  05:00:00,44810009.44,225493939.8,0,61639.68248,1731600,0
 01/04  06:00:00,43917657.61,170577402.8,0,30356.40233,1731600,0
 01/04  07:00:00,51843095.55,223439273.5,0,0,2367670.255,0
 01/04  08:00:00,101704602.3,238347889.1,0,0,2376595.583,0
 01/04  09:00:00,133545752,202156679.6,0,0,4552899.861,0
 01/04  10:00:00,129736470.3,149180787.7,0,0,4646582.806,0
 01/04  11:00:00,116435550.2,137093759.9,0,0,5376122.761,0
 01/04  12:00:00,113955207,128308258.8,0,0,5622810.465,0
 01/04  13:00:00,95332850.69,140009341.9,0,0,7597319.701,0
 01/04  14:00:00,126299543.8,114937701.9,0,0,6573302.697,0
 01/04  15:00:00,135822032.7,120296708.7,0,0,6401552.253,0
 01/04  16:00:00,153409815.2,127653377.3,0,0,6573115.456,0
 01/04  17:00:00,159683103.5,202765625.5,0,0,3781879.446,0
 01/04  18:00:00,120151828,345526604.4,0,0,2367131.594,0
 01/04  19:00:00,50625418.61,267673274.3,0,23483.65629,1731600,0
 01/04  20:00:00,51882649.89,303819847.6,0,16660.35678,1731600,0
 01/04  21:00:00,50456464.2,275901731.5,0,15024.25397,1731600,0
 01/04  22:00:00,52190370.96,355107278.5,0,36005.02416,2358650.283,0
 01/04  23:00:00,51973107.78,348738662.3,0,20362.29787,1731600,0
 01/04  24:00:00,50463633.54,286977360.8,0,20513.85556,1731600,0
 01/05  01:00:00,44598625.97,351616421.3,0,38068.252,1731600,0
 01/05  02:00:00,44967818.54,328101347.5,0,21726.39955,1731600,0
 01/05  03:00:00,44097825.94,239163047.3,0,21112.40382,2358629.276,0
 01/05  04:00:00,44533284.5,297488749.7,0,41609.50636,1731600,0
 01/05  05:00:00,44970664.06,405551305.4,0,17068.11777,1731600,0
 01/05  06:00:00,43622490.65,428720350.8,0,12548.89858,1731600,0
 01/05  07:00:00,52567688.54,545546266,0,0,2367190.31,0
 01/05  08:00:00,102556500.2,589009114.3,0,0,2376712.574,0
 01/05  09:00:00,141901878.1,590367408.7,0,0,4553376.442,0
 01/05  10:00:00,146746301.4,388641785,0,0,4646856.826,0
 01/05  11:00:00,144794774.3,271818942.1,0,0,4971280.517,0
 01/05  12:00:00,142072353.5,245020291.6,0,0,6058208.408,0
 01/05  13:00:00,119459435.9,240145204.2,0,0,7599521.645,0
 01/05  14:00:00,143653173.9,168582088.7,0,0,6575032.439,0
 01/05  15:00:00,147373632.2,187420905.2,0,0,6403152.294,0
 01/05  16:00:00,156040991.5,261656552.9,0,0,6575302.76,0
 01/05  17:00:00,160848523.2,367543314.8,0,0,3781871.24,0
 01/05  18:00:00,120313478.8,421687500.9,0,0,2367161.626,0
 01/05  19:00:00,50694780.76,317674261.7,0,4888.342411,1731600,0
 01/05  20:00:00,51942370.26,355851326.4,0,13862.42721,1731600,0
 01/05  21:00:00,50483358.95,333204561.2,0,15083.46866,1731600,0
 01/05  22:00:00,51582245.49,384823607.9,0,34934.23005,1731600,0
 01/05  23:00:00,52561785.36,371827244.8,0,17632.94796,2358623.325,0
 01/05  24:00:00,50476209.44,336233203.1,0,17513.04806,1731600,0
 01/06  01:00:00,44636393.36,429421336.9,0,34635.28077,1731600,0
 01/06  02:00:00,45075741.98,424659169,0,17357.275,1731600,0
 01/06  03:00:00,43538919.2,348333098.4,0,17269.97712,1731600,0
 01/06  04:00:00,45249552.36,408691857.2,0,34379.1589,2358676.519,0
 01/06  05:00:00,45000857.63,412381300.9,0,12524.44038,1731600,0
 01/06  06:00:00,43534609.03,368844968.9,0,12512.66604,1731600,0
 01/06  07:00:00,52530152.3,500932993.2,0,0,2367489.666,0
 01/06  08:00:00,102327511.6,474999087,0,0,2376439.73,0
 01/06  09:00:00,140230660.3,488179023.1,0,0,4398239.035,0
 01/06  10:00:00,144682789.5,351856478.8,0,0,4807373.418,0
 01/06  11:00:00,128937397,269787707,0,0,4648229.438,0
 01/06  12:00:00,124544920.5,278836268.2,0,0,6404660.925,0
 01/06  13:00:00,100538442.8,245823698.6,0,0,7602231.981,0
 01/06  14:00:00,132015990.6,255838295.3,0,0,6577551.495,0
 01/06  15:00:00,138579056.9,247158625.2,0,0,6404949.129,0
 01/06  16:00:00,150685344.9,258066355.6,0,0,6577641.887,0
 01/06  17:00:00,160990068.3,404061177,0,0,3782298.598,0
 01/06  18:00:00,120392792.4,491404829.6,0,0,2178711.269,0
 01/06  19:00:00,51245565.54,443402925.7,0,33329.45282,1917202.88,0
 01/06  20:00:00,51524044.07,510857786.4,0,13983.52479,1731600,0
 01/06  21:00:00,51017637.81,404919404,0,34751.07196,1731600,0
 01/06  22:00:00,51564946.46,496980605.4,0,13674.62085,1731600,0
